# k	b1	b2	b3	b4
0	-4	-1.92812	2.7	3.4
0.010101	-3.99924	-1.94453	2.6994	3.3997
0.020202	-3.99698	-1.9602	2.69758	3.39879
0.030303	-3.99321	-1.9751	2.69457	3.39728
0.040404	-3.98793	-1.98923	2.69035	3.39517
0.0505051	-3.98116	-2.00255	2.68493	3.39246
0.0606061	-3.97289	-2.01507	2.67831	3.38916
0.0707071	-3.96314	-2.02677	2.67052	3.38526
0.0808081	-3.95192	-2.03764	2.66154	3.38077
0.0909091	-3.93924	-2.04766	2.65139	3.3757
0.10101	-3.92511	-2.05683	2.64009	3.37004
0.111111	-3.90954	-2.06514	2.62763	3.36382
0.121212	-3.89255	-2.07257	2.61404	3.35702
0.131313	-3.87416	-2.07913	2.59933	3.34967
0.141414	-3.85439	-2.0848	2.58351	3.34176
0.151515	-3.83325	-2.08958	2.5666	3.3333
0.161616	-3.81077	-2.09346	2.54862	3.32431
0.171717	-3.78698	-2.09645	2.52958	3.31479
0.181818	-3.76188	-2.09853	2.5095	3.30475
0.191919	-3.73551	-2.09971	2.48841	3.29421
0.20202	-3.70791	-2.09998	2.46632	3.28316
0.212121	-3.67908	-2.09935	2.44326	3.27163
0.222222	-3.64907	-2.09781	2.41925	3.25963
0.232323	-3.6179	-2.09536	2.39432	3.24716
0.242424	-3.5856	-2.09202	2.36848	3.23424
0.252525	-3.55221	-2.08777	2.34177	3.22088
0.262626	-3.51776	-2.08264	2.31421	3.20711
0.272727	-3.48229	-2.07661	2.28583	3.19292
0.282828	-3.44583	-2.0697	2.25666	3.17833
0.292929	-3.40841	-2.06192	2.22673	3.16337
0.30303	-3.37009	-2.05326	2.19607	3.14803
0.313131	-3.33088	-2.04375	2.1647	3.13235
0.323232	-3.29084	-2.03339	2.13267	3.11634
0.333333	-3.25	-2.02219	2.1	3.1
0.343434	-3.20841	-2.01016	2.06673	3.08336
0.353535	-3.1661	-1.99732	2.03288	3.06644
0.363636	-3.12312	-1.98367	1.9985	3.04925
0.373737	-3.07952	-1.96924	1.96361	3.03181
0.383838	-3.03533	-1.95402	1.92826	3.01413
0.393939	-2.9906	-1.93805	1.89248	2.99624
0.40404	-2.94538	-1.92134	1.8563	2.97815
0.414141	-2.89971	-1.9039	1.81977	2.95988
0.424242	-2.85364	-1.88575	1.78291	2.94146
0.434343	-2.80721	-1.86692	1.74577	2.92288
0.444444	-2.76047	-1.84741	1.70838	2.90419
0.454545	-2.71347	-1.82724	1.67078	2.88539
0.464646	-2.66626	-1.80645	1.63301	2.8665
0.474747	-2.61887	-1.78505	1.5951	2.84755
0.484848	-2.57137	-1.76305	1.5571	2.82855
0.494949	-2.5238	-1.74049	1.51904	2.80952
0.505051	-2.4762	-1.71739	1.48096	2.79048
0.515152	-2.42863	-1.69376	1.4429	2.77145
0.525253	-2.38113	-1.66964	1.4049	2.75245
0.535354	-2.33374	-1.64504	1.36699	2.7335
0.545455	-2.28653	-1.62	1.32922	2.71461
0.555556	-2.23953	-1.59453	1.29162	2.69581
0.565657	-2.19279	-1.56867	1.25423	2.67712
0.575758	-2.14636	-1.54244	1.21709	2.65854
0.585859	-2.10029	-1.51586	1.18023	2.64012
0.59596	-2.05462	-1.48896	1.1437	2.62185
0.606061	-2.0094	-1.46177	1.10752	2.60376
0.616162	-1.96467	-1.43432	1.07174	2.58587
0.626263	-1.92048	-1.40663	1.03639	2.56819
0.636364	-1.87688	-1.37873	1.0015	2.55075
0.646465	-1.8339	-1.35066	0.96712	2.53356
0.656566	-1.79159	-1.32243	0.933275	2.51664
0.666667	-1.75	-1.29408	0.9	2.5
0.676768	-1.70916	-1.26563	0.867329	2.48366
0.686869	-1.66912	-1.23712	0.835296	2.46765
0.69697	-1.62991	-1.20857	0.803932	2.45197
0.707071	-1.59159	-1.18001	0.773268	2.43663
0.717172	-1.55417	-1.15147	0.743337	2.42167
0.727273	-1.51771	-1.12298	0.714167	2.40708
0.737374	-1.48224	-1.09457	0.685789	2.39289
0.747475	-1.44779	-1.06627	0.65823	2.37912
0.757576	-1.4144	-1.03809	0.631519	2.36576
0.767677	-1.3821	-1.01009	0.605683	2.35284
0.777778	-1.35093	-0.98227	0.580747	2.34037
0.787879	-1.32092	-0.954673	0.556736	2.32837
0.79798	-1.29209	-0.927323	0.533676	2.31684
0.808081	-1.26449	-0.900247	0.511588	2.30579
0.818182	-1.23812	-0.873473	0.490496	2.29525
0.828283	-1.21302	-0.847028	0.47042	2.28521
0.838384	-1.18923	-0.820938	0.451381	2.27569
0.848485	-1.16675	-0.79523	0.433397	2.2667
0.858586	-1.14561	-0.76993	0.416488	2.25824
0.868687	-1.12584	-0.745062	0.40067	2.25033
0.878788	-1.10745	-0.720653	0.385958	2.24298
0.888889	-1.09046	-0.696726	0.372369	2.23618
0.89899	-1.07489	-0.673306	0.359915	2.22996
0.909091	-1.06076	-0.650417	0.348608	2.2243
0.919192	-1.04808	-0.628081	0.338462	2.21923
0.929293	-1.03686	-0.60632	0.329484	2.21474
0.939394	-1.02711	-0.585158	0.321686	2.21084
0.949495	-1.01884	-0.564614	0.315073	2.20754
0.959596	-1.01207	-0.544711	0.309654	2.20483
0.969697	-1.00679	-0.525467	0.305434	2.20272
0.979798	-1.00302	-0.506902	0.302416	2.20121
0.989899	-1.00076	-0.489036	0.300604	2.2003
1	-1	-0.471885	0.3	2.2
