# freq_Hz	Z_mag_ohm	phase_deg
0.1	90	-0.0256
0.11911	90	-0.0304922
0.141873	90	-0.0363194
0.168985	90	-0.0432601
0.201279	90	-0.0515273
0.239743	89.9999	-0.0613743
0.285559	89.9999	-0.0731031
0.34013	89.9999	-0.0870733
0.40513	89.9998	-0.103713
0.482552	89.9997	-0.123533
0.574769	89.9996	-0.147141
0.68461	89.9995	-0.175259
0.815441	89.9993	-0.208752
0.971274	89.9989	-0.248644
1.15689	89.9985	-0.296159
1.37797	89.9979	-0.352755
1.64131	89.997	-0.420164
1.95497	89.9957	-0.500453
2.32857	89.9939	-0.596082
2.77356	89.9914	-0.70998
3.3036	89.9877	-0.845634
3.93493	89.9826	-1.00719
4.6869	89.9753	-1.1996
5.58259	89.965	-1.42872
6.64944	89.9504	-1.70154
7.92016	89.9296	-2.02636
9.43373	89.9002	-2.413
11.2365	89.8586	-2.87313
13.3839	89.7995	-3.42048
15.9416	89.716	-4.07127
18.9881	89.5979	-4.84446
22.6168	89.4311	-5.76208
26.9389	89.1962	-6.84952
32.087	88.866	-8.13548
38.2189	88.404	-9.65174
45.5227	87.7608	-11.4322
54.2222	86.8724	-13.5111
64.5842	85.6579	-15.9195
76.9265	84.0205	-18.6801
91.6274	81.8534	-21.7998
109.138	79.053	-25.2605
129.994	75.5402	-29.009
154.837	71.289	-32.9509
184.426	66.3514	-36.9505
219.671	60.8676	-40.8401
261.65	55.0516	-44.4388
311.653	49.1541	-47.5739
371.211	43.4174	-50.0989
442.15	38.0385	-51.9035
526.646	33.1517	-52.9152
627.29	28.8292	-53.096
747.167	25.0923	-52.4395
889.953	21.926	-50.9697
1060.03	19.2924	-48.7437
1262.6	17.1408	-45.8554
1503.89	15.4139	-42.4364
1791.28	14.0526	-38.6499
2133.6	12.9983	-34.6759
2541.34	12.1954	-30.6903
3027	11.5934	-26.8444
3605.47	11.1482	-23.2509
4294.49	10.8227	-19.9803
5115.18	10.5869	-17.0646
6092.7	10.4173	-14.5065
7257.04	10.296	-12.2892
8643.88	10.2096	-10.3843
10295.8	10.1482	-8.75843
12263.3	10.1047	-7.37732
14606.9	10.0739	-6.20808
17398.3	10.0522	-5.22061
20723.1	10.0368	-4.3881
24683.4	10.0259	-3.68709
29400.5	10.0183	-3.09732
35019	10.0129	-2.60144
41711.2	10.0091	-2.18469
49682.4	10.0064	-1.83455
59176.9	10.0045	-1.54043
70485.7	10.0032	-1.29341
83955.8	10.0022	-1.08597
100000	10.0016	-0.911781
