sample,value
A,2.305074912810635
A,3.597015985664135
A,3.03814690400825
A,3.285899818861338
A,2.1707241398659223
A,3.5686913761493804
A,4.520699855167188
A,2.1160163891508756
A,3.24794616419267
A,2.450283213254991
A,4.882724241718224
A,3.867742734705175
A,3.197475140120979
A,2.1404927668914056
A,2.3097607476566195
A,3.5223921539772522
A,2.0462554615977564
A,2.0682203086805524
A,3.0061818856175146
A,3.093391668680502
A,3.2660219850360055
A,2.6923322915280203
A,3.6441025822917594
A,2.3967297009165014
A,3.438651047489509
A,3.149884475067688
A,3.420454359939973
A,3.8273986363478767
A,2.681267358426583
A,2.5372457277264
B,3.1492849950787334
B,2.8847983232617307
B,4.359220673544417
B,4.413981695304309
B,3.6311335008449386
B,3.8031202401052466
B,5.718763085836743
B,5.20067182424225
B,3.490714500222701
B,4.146121559104876
B,4.824802153325122
B,3.998839180511567
B,3.853043747675654
B,4.229403372973975
B,5.372528708265979
B,5.445121042014992
B,3.911642545766184
B,4.868440875707449
B,4.494870597697799
B,3.6934116060111593
B,4.262340389399966
B,3.4886126496018885
B,5.4304441897224764
B,5.741977634124242
B,4.171541534740728
B,3.9807365499645493
B,5.343675550118861
B,5.472919152784014
B,3.6084708784859876
B,4.38156426499788
C,3.9646369672772597
C,3.5375342358070485
C,4.231589016452469
C,3.5800327989496292
C,3.675843552786175
C,3.9391943620989753
C,3.1065626306647847
C,2.7661280380140143
C,4.550963419982996
C,3.5558061465328916
C,5.280918449815023
C,5.1831027550501965
C,3.696112826968567
C,5.403431797349576
C,4.562544717632546
C,3.612811718234154
C,2.4508961561126354
C,4.4128930825601955
C,4.018777524928687
C,4.258816951446219
C,3.8626982940973305
C,3.3136858416406816
C,3.743784001347296
C,4.423982371567024
C,3.7873747795754733
C,3.7837492855944355
C,3.0883677471654125
C,4.054720289066965
C,3.3328408351074823
C,4.551115719818868
D,4.4658990997698185
D,4.904295909504243
D,7.3639835657443715
D,4.893425777299412
D,4.759425183866924
D,5.785621985898931
D,3.414738197774347
D,6.450809321778526
D,6.193940043455595
D,5.724451744874726
D,1.8229025065236906
D,4.940588301524223
D,3.927133773994667
D,6.32410678395954
D,6.252561087256012
D,5.588009889830774
D,3.9968888028599876
D,6.69429421052493
D,4.937738860980512
D,7.005371066900566
D,5.4653870668626485
D,5.706808018916648
D,4.73969561543747
D,6.606955577781809
D,5.808433884293608
D,6.642891692514622
D,5.37754119854704
D,5.1529613407442
D,5.795130162898811
D,6.642540509091209
