# energy_eV	COHP	ICOHP
-8	1.2486e-15	3.75517e-17
-7.96992	1.89359e-15	9.45018e-17
-7.93985	2.86456e-15	1.80654e-16
-7.90977	4.32255e-15	3.10656e-16
-7.8797	6.50625e-15	5.06332e-16
-7.84962	9.76854e-15	8.00123e-16
-7.81955	1.46298e-14	1.24012e-15
-7.78947	2.18552e-14	1.89742e-15
-7.7594	3.25672e-14	2.87688e-15
-7.72932	4.84077e-14	4.33275e-15
-7.69925	7.17725e-14	6.49132e-15
-7.66917	1.06148e-13	9.68373e-15
-7.6391	1.56593e-13	1.43933e-14
-7.60902	2.30431e-13	2.13235e-14
-7.57895	3.38236e-13	3.1496e-14
-7.54887	4.9523e-13	4.63902e-14
-7.5188	7.23274e-13	6.81428e-14
-7.48872	1.05368e-12	9.98323e-14
-7.45865	1.53116e-12	1.45882e-13
-7.42857	2.21945e-12	2.12633e-13
-7.3985	3.20905e-12	3.09145e-13
-7.36842	4.62824e-12	4.48341e-13
-7.33835	6.65833e-12	6.48591e-13
-7.30827	9.55483e-12	9.35954e-13
-7.2782	1.3677e-11	1.34729e-12
-7.24812	1.95283e-11	1.93461e-12
-7.21805	2.78131e-11	2.77109e-12
-7.18797	3.95133e-11	3.95946e-12
-7.15789	5.59944e-11	5.64351e-12
-7.12782	7.91508e-11	8.02398e-12
-7.09774	1.11603e-10	1.13805e-11
-7.06767	1.56965e-10	1.61012e-11
-7.03759	2.20212e-10	2.27241e-11
-7.00752	3.08167e-10	3.19923e-11
-6.97744	4.30171e-10	4.49298e-11
-6.94737	5.9897e-10	6.2944e-11
-6.91729	8.31913e-10	8.79639e-11
-6.88722	1.15255e-09	1.22627e-10
-6.85714	1.59276e-09	1.70529e-10
-6.82707	2.19557e-09	2.36562e-10
-6.79699	3.01895e-09	3.27357e-10
-6.76692	4.14069e-09	4.51889e-10
-6.73684	5.66497e-09	6.22264e-10
-6.70677	7.73093e-09	8.54773e-10
-6.67669	1.05239e-08	1.17128e-09
-6.64662	1.42898e-08	1.60105e-09
-6.61654	1.93547e-08	2.18315e-09
-6.58647	2.61491e-08	2.96959e-09
-6.55639	3.52399e-08	4.02943e-09
-6.52632	4.7372e-08	5.45416e-09
-6.49624	6.35211e-08	7.36457e-09
-6.46617	8.49616e-08	9.9198e-09
-6.43609	1.13354e-07	1.33289e-08
-6.40602	1.50855e-07	1.78659e-08
-6.37594	2.00258e-07	2.38887e-08
-6.34586	2.65173e-07	3.18638e-08
-6.31579	3.5025e-07	4.23977e-08
