# V	I
-0.2	-0.0419252
-0.197995	0.00271605
-0.19599	-0.0513957
-0.193985	-0.0153699
-0.19198	-0.0183124
-0.189975	-0.0600765
-0.18797	-0.0448111
-0.185965	-0.0411485
-0.18396	-0.0163023
-0.181955	-0.0346339
-0.17995	-0.0287043
-0.177945	-0.0558447
-0.17594	0.0201273
-0.173935	-0.0246663
-0.17193	-0.0158095
-0.169925	-0.0363012
-0.16792	-0.0382405
-0.165915	0.0133665
-0.16391	-0.0629209
-0.161905	-0.0187128
-0.1599	-0.048215
-0.157895	-0.0317842
-0.15589	-0.0361453
-0.153885	-0.0428023
-0.15188	-0.0220731
-0.149875	-0.0738418
-0.14787	-0.0284902
-0.145865	-0.0236855
-0.14386	-0.0487645
-0.141855	0.00898618
-0.13985	-0.0328666
-0.137845	-0.0254264
-0.13584	-0.0322203
-0.133835	-0.0217065
-0.13183	0.00638845
-0.129825	0.0299866
-0.12782	-0.00426015
-0.125815	0.00288769
-0.12381	0.0157571
-0.121805	-0.0132933
-0.119799	0.0134351
-0.117794	-0.00182115
-0.115789	-0.0144887
-0.113784	-0.0100608
-0.111779	-0.0531953
-0.109774	-0.0106238
-0.107769	-0.0470404
-0.105764	-0.04837
-0.103759	-0.0117063
-0.101754	-0.0375447
-0.0997494	-0.0151047
-0.0977444	-0.011893
-0.0957393	-0.0106999
-0.0937343	-0.0321426
-0.0917293	0.00421425
-0.0897243	-0.0152434
-0.0877193	-0.00433638
-0.0857143	-0.0367859
-0.0837093	-0.0161229
-0.0817043	0.00969025
-0.0796992	0.00744867
-0.0776942	-0.0276
-0.0756892	-0.0222645
-0.0736842	-0.0308264
-0.0716792	-0.0238801
-0.0696742	-0.0384325
-0.0676692	-0.0129139
-0.0656642	0.00281314
-0.0636591	-0.0252499
-0.0616541	-0.0110602
-0.0596491	-0.0133573
-0.0576441	0.0124558
-0.0556391	-0.0205777
-0.0536341	-0.0195494
-0.0516291	-0.0246648
-0.0496241	-0.0301938
-0.047619	0.00344084
-0.045614	-0.00954432
-0.043609	-0.00544516
-0.041604	0.0192522
-0.039599	0.0207018
-0.037594	-0.0385638
-0.035589	0.00761835
-0.033584	-0.000524655
-0.0315789	-0.0139687
-0.0295739	0.00211758
-0.0275689	-0.038663
-0.0255639	0.0254183
-0.0235589	0.00676505
-0.0215539	-0.020537
-0.0195489	-0.0146405
-0.0175439	-0.0366945
-0.0155388	-0.00860997
-0.0135338	-0.0116847
-0.0115288	-0.0282315
-0.00952381	0.0141055
-0.0075188	0.0244081
-0.00551378	-0.00137428
-0.00350877	-0.00663925
-0.00150376	0.00847413
0.000501253	-0.000317591
0.00250627	-0.0212676
0.00451128	-0.0123769
0.00651629	-0.00495128
0.0085213	0.00624193
0.0105263	0.00176568
0.0125313	0.00608709
0.0145363	-0.0283161
0.0165414	0.0157856
0.0185464	0.00285027
0.0205514	0.0541369
0.0225564	-0.00436923
0.0245614	0.0101534
0.0265664	0.0605693
0.0285714	0.00816755
0.0305764	0.00323386
0.0325815	-0.0148512
0.0345865	0.0357533
0.0365915	-0.0176933
0.0385965	0.0143319
0.0406015	-0.00338084
0.0426065	0.0026043
0.0446115	-0.0217868
0.0466165	0.0338551
0.0486216	0.00173742
0.0506266	-0.0167076
0.0526316	0.0329488
0.0546366	-0.0018869
0.0566416	0.0151889
0.0586466	0.025626
0.0606516	0.0185793
0.0626566	-0.034533
0.0646617	0.023608
0.0666667	0.0079899
0.0686717	0.00372309
0.0706767	0.00842389
0.0726817	-0.0212932
0.0746867	0.0150533
0.0766917	-0.015775
0.0786967	0.00609969
0.0807018	0.0152463
0.0827068	0.0339074
0.0847118	-0.00365858
0.0867168	0.0420743
0.0887218	0.0322908
0.0907268	0.00507961
0.0927318	-0.00818944
0.0947368	-0.0145684
0.0967419	0.020071
0.0987469	0.000225517
0.100752	0.0393025
0.102757	0.00207998
0.104762	-0.00197429
0.106767	0.021097
0.108772	0.00310916
0.110777	0.0174316
0.112782	0.037441
0.114787	0.0205628
0.116792	0.0211785
0.118797	0.0234559
0.120802	-0.0138521
0.122807	0.0285788
0.124812	0.0247622
0.126817	0.0403486
0.128822	0.0356585
0.130827	0.0207009
0.132832	0.0467562
0.134837	0.021823
0.136842	0.0344166
0.138847	0.0253147
0.140852	0.0431434
0.142857	0.0291001
0.144862	0.0727031
0.146867	0.0836765
0.148872	0.0649
0.150877	0.0829191
0.152882	0.0266313
0.154887	0.0350368
0.156892	0.0638893
0.158897	0.0788947
0.160902	0.0828396
0.162907	0.0637734
0.164912	0.130637
0.166917	0.162955
0.168922	0.159137
0.170927	0.170355
0.172932	0.169877
0.174937	0.166886
0.176942	0.205365
0.178947	0.268058
0.180952	0.242884
0.182957	0.266818
0.184962	0.326129
0.186967	0.357639
0.188972	0.349533
0.190977	0.395738
0.192982	0.427543
0.194987	0.477691
0.196992	0.539128
0.198997	0.543685
0.201003	0.62611
0.203008	0.652598
0.205013	0.744864
0.207018	0.753819
0.209023	0.795705
0.211028	0.860182
0.213033	0.893553
0.215038	0.916257
0.217043	0.999152
0.219048	1.05023
0.221053	1.07413
0.223058	1.15399
0.225063	1.16208
0.227068	1.24255
0.229073	1.29819
0.231078	1.33644
0.233083	1.36449
0.235088	1.40589
0.237093	1.42318
0.239098	1.46643
0.241103	1.49057
0.243108	1.49023
0.245113	1.52786
0.247118	1.53732
0.249123	1.53358
0.251128	1.58533
0.253133	1.52928
0.255138	1.51693
0.257143	1.49982
0.259148	1.47007
0.261153	1.48009
0.263158	1.42539
0.265163	1.39662
0.267168	1.36249
0.269173	1.31557
0.271178	1.25931
0.273183	1.24156
0.275188	1.22255
0.277193	1.16144
0.279198	1.13967
0.281203	1.07334
0.283208	1.01794
0.285213	0.993893
0.287218	0.903047
0.289223	0.855299
0.291228	0.803455
0.293233	0.785085
0.295238	0.705913
0.297243	0.645904
0.299248	0.625179
0.301253	0.553374
0.303258	0.538498
0.305263	0.496201
0.307268	0.446281
0.309273	0.425639
0.311278	0.35096
0.313283	0.35252
0.315288	0.310691
0.317293	0.349989
0.319298	0.270724
0.321303	0.232551
0.323308	0.195719
0.325313	0.230054
0.327318	0.17937
0.329323	0.154639
0.331328	0.162857
0.333333	0.156259
0.335338	0.144444
0.337343	0.121925
0.339348	0.115643
0.341353	0.109096
0.343358	0.104152
0.345363	0.0997725
0.347368	0.107812
0.349373	0.0824154
0.351378	0.0609569
0.353383	0.0709844
0.355388	0.0860302
0.357393	0.0327564
0.359398	0.0307982
0.361404	0.0830503
0.363409	0.09366
0.365414	0.0367879
0.367419	0.0631618
0.369424	0.0524176
0.371429	0.0546152
0.373434	0.0655091
0.375439	0.0332296
0.377444	0.0367347
0.379449	0.0527335
0.381454	0.0558041
0.383459	0.0362074
0.385464	0.0745859
0.387469	0.0505511
0.389474	0.050611
0.391479	0.0648749
0.393484	0.0568422
0.395489	0.0763884
0.397494	0.041205
0.399499	0.0321737
0.401504	0.0541842
0.403509	0.0618519
0.405514	0.0361063
0.407519	0.0334462
0.409524	0.0651315
0.411529	0.0466177
