# T_C	heatflow_mW/mg
25	-0.00402727
25.97	0.00293548
26.9399	0.015896
27.9099	-0.000906016
28.8798	0.00723979
29.8498	0.0192262
30.8198	0.0142433
31.7897	0.0246694
32.7597	0.046569
33.7297	0.0140586
34.6996	-0.00922585
35.6696	0.0102365
36.6395	0.00937637
37.6095	0.0122702
38.5795	0.0299003
39.5494	-0.0336822
40.5194	0.0302768
41.4894	0.0370083
42.4593	0.0113614
43.4293	0.0118427
44.3992	-0.0048329
45.3692	0.000126477
46.3392	0.013959
47.3091	0.012671
48.2791	0.0144142
49.2491	0.0125334
50.219	0.0179678
51.189	0.0157329
52.1589	-0.020487
53.1289	0.0166453
54.0989	0.0371716
55.0688	-0.000532798
56.0388	0.0299892
57.0088	-0.0183465
57.9787	-0.000596202
58.9487	-0.0128246
59.9186	0.0275823
60.8886	0.0328063
61.8586	-0.00198872
62.8285	0.0234142
63.7985	0.0330022
64.7685	-0.000673445
65.7384	0.00257324
66.7084	0.014641
67.6783	-0.0168954
68.6483	0.00213862
69.6183	0.0427665
70.5882	-0.0101251
71.5582	0.0169029
72.5282	0.0102363
73.4981	-0.00360439
74.4681	0.00398446
75.438	0.0344447
76.408	0.0102542
77.378	0.0131031
78.3479	0.0305652
79.3179	-0.0077043
80.2879	-0.0234502
81.2578	0.0320954
82.2278	-0.00150282
83.1977	0.0124301
84.1677	-0.0221967
85.1377	-0.00104799
86.1076	-0.033055
87.0776	-0.0126468
88.0476	-0.0302797
89.0175	-0.0389639
89.9875	-0.032356
90.9574	-0.0779472
91.9274	-0.0620817
92.8974	-0.0311759
93.8673	-0.0490658
94.8373	-0.0880669
95.8073	-0.0676665
96.7772	-0.109802
97.7472	-0.0930647
98.7171	-0.126794
99.6871	-0.149703
100.657	-0.165483
101.627	-0.134638
102.597	-0.2248
103.567	-0.230396
104.537	-0.245942
105.507	-0.308584
106.477	-0.349851
107.447	-0.359176
108.417	-0.361363
109.387	-0.412621
110.357	-0.439053
111.327	-0.443859
112.297	-0.504403
113.267	-0.514379
114.237	-0.564916
115.207	-0.547576
116.176	-0.565713
117.146	-0.567363
118.116	-0.615559
119.086	-0.602101
120.056	-0.625563
121.026	-0.602732
121.996	-0.562119
122.966	-0.588362
123.936	-0.595893
124.906	-0.56549
125.876	-0.56443
126.846	-0.535804
127.816	-0.471901
128.786	-0.487855
129.756	-0.4249
130.726	-0.401894
131.696	-0.38377
132.666	-0.339199
133.636	-0.33336
134.606	-0.269245
135.576	-0.27238
136.546	-0.239643
137.516	-0.216888
138.486	-0.16938
139.456	-0.150308
140.426	-0.193371
141.395	-0.117335
142.365	-0.140536
143.335	-0.0973997
144.305	-0.0793102
145.275	-0.0723237
146.245	-0.0448668
147.215	-0.0314384
148.185	-0.0535068
149.155	-0.0475534
150.125	-0.0264017
151.095	-0.0517719
152.065	-0.0264325
153.035	0.0133945
154.005	-0.040951
154.975	-0.0153833
155.945	-0.0186037
156.915	0.0348181
157.885	-0.014867
158.855	-0.01277
159.825	-0.0230503
160.795	-0.00166956
161.765	0.00399788
162.735	-0.0187738
163.705	0.0189842
164.675	0.00483443
165.645	0.0166051
166.615	-0.00688001
167.584	0.00463265
168.554	-0.00442907
169.524	0.0290335
170.494	0.00223952
171.464	0.00011424
172.434	-0.00920772
173.404	-0.0103493
174.374	0.00473356
175.344	0.0163773
176.314	-0.0137011
177.284	0.00252483
178.254	0.00367881
179.224	0.00716419
180.194	-0.034152
181.164	-0.018496
182.134	-0.0273178
183.104	0.000657095
184.074	-0.0180199
185.044	-0.00992507
186.014	-0.0238858
186.984	-0.00806483
187.954	-0.0224821
188.924	0.0151581
189.894	0.00958453
190.864	0.00300457
191.834	-0.00603885
192.804	-0.0407537
193.773	-0.00916414
194.743	-0.0152291
195.713	0.00494548
196.683	0.0123941
197.653	0.00649265
198.623	0.0252608
199.593	-0.0113663
200.563	-0.0121955
201.533	0.0207576
202.503	0.00332433
203.473	-0.00493997
204.443	0.0369304
205.413	0.0115546
206.383	-0.00381088
207.353	-0.0137189
208.323	0.0265303
209.293	0.00413994
210.263	0.000490338
211.233	0.0135255
212.203	0.0176018
213.173	0.0109974
214.143	0.0176795
215.113	0.00902749
216.083	0.0110978
217.053	-0.0146328
218.023	0.0362071
218.992	-0.0246735
219.962	0.00618755
220.932	-0.0267353
221.902	-0.00196257
222.872	-0.0114259
223.842	0.00271512
224.812	0.00683515
225.782	-0.0191267
226.752	-0.000588289
227.722	0.0278735
228.692	-0.0262453
229.662	-0.0170811
230.632	0.0172151
231.602	0.0015511
232.572	0.0030231
233.542	0.020446
234.512	-0.0158814
235.482	-0.0103867
236.452	-0.0128528
237.422	-0.00696406
238.392	0.0267904
239.362	-0.0340216
240.332	-0.0238844
241.302	-0.0273137
242.272	0.0280339
243.242	-0.012288
244.212	-0.00653347
245.181	-0.0322927
246.151	-0.00524772
247.121	0.0173304
248.091	0.00505914
249.061	-0.00215728
250.031	-0.0312977
251.001	-0.00655904
251.971	0.0029383
252.941	-0.0198365
253.911	0.0130978
254.881	0.0177014
255.851	-0.010573
256.821	0.0145166
257.791	-0.00219479
258.761	0.0229428
259.731	0.040683
260.701	-0.0218733
261.671	0.0153897
262.641	0.0260993
263.611	-0.0194136
264.581	-0.0115024
265.551	-0.0117275
266.521	-0.00265561
267.491	-0.0071273
268.461	-0.00396567
269.431	0.0167598
270.401	-0.0379162
271.37	-0.0194778
272.34	0.0133986
273.31	0.0110556
274.28	-0.0211708
275.25	0.0111941
276.22	0.0265374
277.19	-0.000980437
278.16	-0.0201591
279.13	0.0174992
280.1	0.0344611
281.07	-0.0177226
282.04	0.000785276
283.01	0.0218034
283.98	0.00230751
284.95	-0.0349455
285.92	0.00886883
286.89	-0.0195756
287.86	-0.0254138
288.83	-0.0345541
289.8	0.0238091
290.77	-0.0166931
291.74	0.00666808
292.71	0.0115807
293.68	0.00323829
294.65	0.00593367
295.62	0.00762363
296.589	0.0027651
297.559	-0.0151995
298.529	-0.0169824
299.499	-0.00209449
300.469	-0.00251724
301.439	0.00859349
302.409	0.0220413
303.379	0.00688786
304.349	-0.0162063
305.319	-0.0436098
306.289	-0.0153631
307.259	-0.0268716
308.229	-0.0145862
309.199	0.00487025
310.169	0.00171655
311.139	0.037197
312.109	0.0097004
313.079	0.0382283
314.049	0.0143549
315.019	0.0217744
315.989	-0.00710838
316.959	-0.0214097
317.929	-0.00888639
318.899	-0.000130444
319.869	-0.0124401
320.839	-0.0198813
321.809	0.00849939
322.778	-0.0199213
323.748	-0.0304559
324.718	-0.0221967
325.688	-0.00440684
326.658	-0.0194981
327.628	-0.00419617
328.598	0.0124258
329.568	0.0119639
330.538	-0.012676
331.508	-0.0254643
332.478	-0.0108146
333.448	0.0139045
334.418	0.0186811
335.388	0.00807341
336.358	0.0251773
337.328	0.0358815
338.298	-0.0082003
339.268	0.031382
340.238	-0.00335201
341.208	0.0224883
342.178	0.0165217
343.148	-0.0369027
344.118	-0.0163656
345.088	-0.0211108
346.058	-0.0319311
347.028	0.0217337
347.997	0.0460072
348.967	1.38266e-05
349.937	0.0228418
350.907	0.0361036
351.877	0.0112966
352.847	0.00741483
353.817	0.00387709
354.787	0.0204971
355.757	0.0282873
356.727	0.0211772
357.697	0.0217462
358.667	0.0135456
359.637	-0.0157907
360.607	0.035657
361.577	-0.00620963
362.547	0.0338074
363.517	0.0386391
364.487	0.00300032
365.457	0.0161298
366.427	0.0733974
367.397	0.0322793
368.367	0.0125988
369.337	0.0564026
370.307	0.0285764
371.277	0.00954316
372.247	0.0625679
373.217	0.0383708
374.186	0.0679867
375.156	0.0505155
376.126	0.0864845
377.096	0.0819644
378.066	0.0328658
379.036	0.099066
380.006	0.0928462
380.976	0.134648
381.946	0.122369
382.916	0.138234
383.886	0.118061
384.856	0.126165
385.826	0.151699
386.796	0.155815
387.766	0.201188
388.736	0.183365
389.706	0.174555
390.676	0.195753
391.646	0.245505
392.616	0.237416
393.586	0.251573
394.556	0.293095
395.526	0.270187
396.496	0.261063
397.466	0.30669
398.436	0.347268
399.406	0.356816
400.375	0.350674
401.345	0.422973
402.315	0.427377
403.285	0.454019
404.255	0.477428
405.225	0.466511
406.195	0.522616
407.165	0.559396
408.135	0.589329
409.105	0.606785
410.075	0.628991
411.045	0.610846
412.015	0.672625
412.985	0.681546
413.955	0.754456
414.925	0.779894
415.895	0.767039
416.865	0.814134
417.835	0.849215
418.805	0.891583
419.775	0.869452
420.745	0.888182
421.715	0.962501
422.685	0.940361
423.655	1.02323
424.625	1.06074
425.594	1.10213
426.564	1.0931
427.534	1.13646
428.504	1.17343
429.474	1.16346
430.444	1.2312
431.414	1.24356
432.384	1.25036
433.354	1.28882
434.324	1.3058
435.294	1.34579
436.264	1.34352
437.234	1.3747
438.204	1.376
439.174	1.38669
440.144	1.42462
441.114	1.41768
442.084	1.46469
443.054	1.47217
444.024	1.45523
444.994	1.48353
445.964	1.47109
446.934	1.4601
447.904	1.4844
448.874	1.49794
449.844	1.51041
450.814	1.50244
451.783	1.51551
452.753	1.47407
453.723	1.48096
454.693	1.51464
455.663	1.43489
456.633	1.45474
457.603	1.43116
458.573	1.43608
459.543	1.41731
460.513	1.42271
461.483	1.39915
462.453	1.35007
463.423	1.34536
464.393	1.33693
465.363	1.33045
466.333	1.34204
467.303	1.28421
468.273	1.22579
469.243	1.21922
470.213	1.19903
471.183	1.15865
472.153	1.15146
473.123	1.0691
474.093	1.09759
475.063	1.0486
476.033	1.0272
477.003	1.0297
477.972	0.945959
478.942	0.947309
479.912	0.928331
480.882	0.886452
481.852	0.821408
482.822	0.85146
483.792	0.791155
484.762	0.755985
485.732	0.731754
486.702	0.702071
487.672	0.658029
488.642	0.657661
489.612	0.615397
490.582	0.614227
491.552	0.58515
492.522	0.581851
493.492	0.520224
494.462	0.484115
495.432	0.447134
496.402	0.497388
497.372	0.444415
498.342	0.39565
499.312	0.42237
500.282	0.395329
501.252	0.321576
502.222	0.314627
503.191	0.308844
504.161	0.27258
505.131	0.275237
506.101	0.275282
507.071	0.218134
508.041	0.236687
509.011	0.240087
509.981	0.211262
510.951	0.188922
511.921	0.164871
512.891	0.183257
513.861	0.1321
514.831	0.150066
515.801	0.135851
516.771	0.148521
517.741	0.105543
518.711	0.0989354
519.681	0.0762277
520.651	0.10245
521.621	0.0783126
522.591	0.0630583
523.561	0.058882
524.531	0.0792678
525.501	0.0411445
526.471	0.0379507
527.441	0.0715263
528.411	0.0459591
529.38	0.0643733
530.35	0.0343442
531.32	0.0380437
532.29	0.0379798
533.26	0.0596249
534.23	0.0552454
535.2	0.0496511
536.17	0.0116647
537.14	0.00234312
538.11	0.0353058
539.08	0.0457957
540.05	0.0398366
541.02	0.0152999
541.99	0.0281827
542.96	0.0272417
543.93	0.0141312
544.9	0.0139208
545.87	0.0110532
546.84	-0.00756918
547.81	-0.0063441
548.78	-0.00739438
549.75	-0.0260225
550.72	0.00820891
551.69	0.00398723
552.66	0.0195376
553.63	0.0290605
554.599	0.0299238
555.569	0.0314391
556.539	-0.0124034
557.509	-0.0261993
558.479	0.0207867
559.449	0.0295739
560.419	0.0328353
561.389	0.0112221
562.359	-0.0385848
563.329	0.00850695
564.299	0.0121657
565.269	0.0259754
566.239	0.0294169
567.209	0.0189196
568.179	-0.0111053
569.149	-0.0200189
570.119	0.0111745
571.089	-0.0154134
572.059	0.0298842
573.029	-0.0337569
573.999	0.0116304
574.969	0.00664659
575.939	-0.0039118
576.909	-0.0183073
577.879	-0.0410655
578.849	-0.0104805
579.819	-0.0101489
580.788	0.0223467
581.758	-0.01556
582.728	0.00913967
583.698	-0.0257718
584.668	0.00966812
585.638	-0.0446994
586.608	0.0419531
587.578	-0.00278068
588.548	-0.055855
589.518	-0.0143248
590.488	-0.0174873
591.458	-0.0130941
