# Zreal	-Zimag
10.4094	-0.304041
10.2925	0.371029
10.007	0.732039
10.1915	1.75381
9.83581	3.95627
10.9108	3.6859
11.2027	5.49353
10.5767	5.67375
11.7029	6.26908
10.5708	6.46086
10.5389	7.83017
10.9723	9.34692
11.4051	9.96886
12.6743	10.2047
11.9134	10.3778
11.9778	11.189
12.2774	11.9575
13.4269	13.5278
13.7229	14.3781
13.5014	14.5032
13.3352	14.9929
14.042	16.4124
15.6078	16.0693
15.638	17.1378
15.8491	17.9466
17.0477	18.0483
17.5773	18.7583
17.2896	19.3331
17.8227	20.7776
18.1381	21.5548
18.8134	21.3987
18.9037	21.7943
19.4874	22.1952
19.9936	22.9537
21.729	23.2349
21.2964	23.9017
23.3392	24.5747
22.9175	24.6992
24.5667	25.22
24.3991	25.6386
24.6027	25.9847
26.4371	26.316
27.1886	27.1598
26.979	26.4902
27.9311	28.1529
28.4321	27.8829
29.4847	28.3588
30.3219	28.6713
30.8907	28.3448
31.0626	28.489
32.3223	28.6485
33.6058	29.149
34.0152	29.6935
34.7463	29.3259
35.287	29.9275
36.2004	28.8414
37.7955	29.7178
37.5655	30.4015
39.1006	29.9081
39.6228	29.6657
40.4939	29.7346
40.8947	28.7653
41.8378	29.53
42.7658	30.2949
43.3473	29.5555
44.4733	29.4985
45.3057	28.6267
46.7703	28.7615
46.7869	29.7239
46.6805	29.3083
48.6751	28.3358
48.8872	28.3758
50.526	28.3696
51.0554	27.6363
51.0034	27.027
52.225	27.4595
52.421	27.4276
53.3732	27.0916
54.3468	26.8427
55.216	25.4903
55.813	25.7359
56.1583	25.1885
57.7837	24.8264
57.2948	24.3247
57.4362	23.6763
58.1388	22.2478
59.9069	23.4178
59.8858	22.5671
60.5654	21.3078
60.8557	21.542
61.448	20.6101
61.8554	20.0433
62.8845	19.3112
63.1671	19.2274
63.8738	18.0735
64.3128	17.3227
64.4671	17.5698
64.4972	16.3892
64.8882	15.734
67.1252	15.3912
66.8957	14.1578
67.2121	13.5382
66.7592	13.1388
67.367	11.6819
67.3522	11.6603
67.4493	10.535
68.015	10.4372
69.0376	9.56447
69.0802	8.75586
68.5726	7.18552
69.0312	7.01975
69.6331	5.81808
69.2608	5.49774
69.6563	3.80603
69.8998	3.33217
69.9893	3.63772
70.0076	2.52113
69.6967	1.44173
69.7692	0.428409
69.5465	-0.433702
69.3755	0.0800623
70.5951	0.503573
71.6086	1.90071
71.371	1.84917
72.6733	2.58759
73.519	2.64973
73.1115	3.70187
74.3789	4.55798
75.7867	4.97909
75.99	5.57498
75.6621	6.54102
77.3146	7.65721
77.3932	7.7503
78.6099	8.79101
78.6983	9.223
79.5942	10.0491
80.0414	10.0125
80.8987	10.8147
81.3115	11.4574
82.0901	12.398
82.3503	13.1375
83.6578	13.5116
84.1727	14.4532
84.097	14.5183
85.7818	15.7388
85.9551	16.432
86.7314	16.9377
87.6135	17.3614
88.08	18.234
89.0558	18.2321
89.1135	19.3101
90.2856	19.992
90.562	19.981
91.3569	21.3437
91.9563	21.2953
92.9322	22.2647
93.3655	23.0928
93.5408	23.4257
94.1025	24.392
94.9801	25.0266
