# wavenumber_cm-1	transmittance_%
400	100.081
401.801	99.8143
403.602	100.055
405.403	100.761
407.204	100.352
409.005	99.9133
410.805	99.8428
412.606	99.1416
414.407	100.32
416.208	100.236
418.009	99.8364
419.81	99.5699
421.611	99.6527
423.412	100.132
425.213	99.9721
427.014	100.206
428.814	100.024
430.615	100.288
432.416	100.109
434.217	100.246
436.018	99.3697
437.819	99.6257
439.62	99.8859
441.421	100.318
443.222	100.557
445.023	99.9425
446.823	99.8067
448.624	99.4019
450.425	100.245
452.226	99.8186
454.027	100.868
455.828	99.7555
457.629	100.605
459.43	100.193
461.231	99.655
463.032	100.027
464.832	100.182
466.633	99.8746
468.434	100.184
470.235	100.167
472.036	100.089
473.837	99.8913
475.638	99.5281
477.439	99.8397
479.24	99.8954
481.041	99.2571
482.841	99.8451
484.642	99.7365
486.443	99.3443
488.244	99.5974
490.045	99.5635
491.846	100.191
493.647	99.6285
495.448	99.8182
497.249	99.411
499.05	98.817
500.85	99.5068
502.651	99.0264
504.452	99.0342
506.253	98.7217
508.054	98.9534
509.855	99.1359
511.656	98.9711
513.457	99.0317
515.258	98.9281
517.059	97.6386
518.859	97.7252
520.66	97.3597
522.461	97.8981
524.262	97.2941
526.063	97.1357
527.864	96.9847
529.665	96.9181
531.466	96.0979
533.267	95.8924
535.068	95.9836
536.868	96.0427
538.669	95.3622
540.47	94.8064
542.271	94.0614
544.072	94.6419
545.873	93.7747
547.674	93.2806
549.475	92.7303
551.276	92.4251
553.077	92.1734
554.877	91.9894
556.678	91.2932
558.479	91.3035
560.28	90.7644
562.081	91.0957
563.882	89.5106
565.683	89.6669
567.484	89.2727
569.285	88.5209
571.086	88.4774
572.886	88.3097
574.687	87.7508
576.488	87.7951
578.289	86.4012
580.09	86.495
581.891	86.9036
583.692	86.4699
585.493	86.1169
587.294	86.108
589.095	84.9723
590.895	85.6223
592.696	85.5673
594.497	84.9437
596.298	85.8529
598.099	85.0758
599.9	84.3422
601.701	85.1279
603.502	84.8414
605.303	85.4807
607.104	85.3991
608.904	85.1877
610.705	85.9784
612.506	85.9974
614.307	85.6811
616.108	86.1226
617.909	86.5856
619.71	86.6055
621.511	86.9191
623.312	87.3538
625.113	87.3633
626.913	87.3686
628.714	88.4789
630.515	88.1905
632.316	88.8788
634.117	89.0425
635.918	89.4824
637.719	90.5117
639.52	90.7261
641.321	91.1248
643.122	91.2159
644.922	91.8194
646.723	92.5305
648.524	92.7976
650.325	93.449
652.126	93.8725
653.927	93.8791
655.728	93.7609
657.529	94.4405
659.33	94.9776
661.131	95.1013
662.931	95.3325
664.732	95.9714
666.533	96.968
668.334	96.3673
670.135	96.7743
671.936	96.6293
673.737	97.6303
675.538	97.7407
677.339	97.9279
679.14	98.2892
680.94	97.9356
682.741	98.1434
684.542	98.9058
686.343	98.73
688.144	98.0109
689.945	98.9394
691.746	98.7448
693.547	99.2957
695.348	99.2469
697.149	98.6922
698.949	99.3771
700.75	99.4344
702.551	99.5483
704.352	99.6735
706.153	100.005
707.954	99.7311
709.755	99.6591
711.556	100.037
713.357	100.402
715.158	100.037
716.958	99.8531
718.759	99.947
720.56	99.917
722.361	99.8662
724.162	100.528
725.963	99.6699
727.764	100.255
729.565	99.8832
731.366	99.4876
733.167	99.8847
734.967	99.7854
736.768	100.13
738.569	99.9902
740.37	99.6616
742.171	100.414
743.972	100.304
745.773	100.456
747.574	100.054
749.375	99.9751
751.176	100.199
752.976	99.8166
754.777	100.03
756.578	99.94
758.379	99.5555
760.18	100.033
761.981	99.8632
763.782	99.9234
765.583	100.106
767.384	100.379
769.185	99.7428
770.985	99.8967
772.786	99.7683
774.587	99.7489
776.388	99.8197
778.189	99.9391
779.99	100.174
781.791	100.094
783.592	99.6807
785.393	100.386
787.194	100.281
788.994	99.7267
790.795	100.364
792.596	100.094
794.397	99.9489
796.198	100.103
797.999	99.987
799.8	100.158
801.601	100.05
803.402	99.8912
805.203	99.3837
807.004	100.149
808.804	99.877
810.605	100.221
812.406	100.131
814.207	99.8802
816.008	100.289
817.809	100.042
819.61	100.027
821.411	99.9339
823.212	100.477
825.013	99.7551
826.813	99.8686
828.614	99.5901
830.415	100.175
832.216	99.7771
834.017	99.8053
835.818	99.7851
837.619	99.9522
839.42	99.5508
841.221	99.2448
843.022	100.046
844.822	99.2648
846.623	100.144
848.424	100.344
850.225	99.8137
852.026	100.239
853.827	99.8257
855.628	100.296
857.429	99.6603
859.23	99.0672
861.031	99.7305
862.831	100.243
864.632	99.8644
866.433	99.5207
868.234	99.7429
870.035	99.9018
871.836	99.5483
873.637	100.322
875.438	99.3366
877.239	99.7464
879.04	99.6245
880.84	99.1323
882.641	99.1572
884.442	99.5278
886.243	99.199
888.044	99.1854
889.845	98.5163
891.646	99.1215
893.447	98.9228
895.248	98.7232
897.049	98.7501
898.849	98.4117
900.65	98.2425
902.451	98.2257
904.252	98.0295
906.053	98.6853
907.854	98.1586
909.655	97.4397
911.456	98.1771
913.257	97.2629
915.058	97.2182
916.858	97.2851
918.659	96.2208
920.46	96.5257
922.261	96.1986
924.062	96.1944
925.863	95.9942
927.664	95.5983
929.465	95.3101
931.266	95.3798
933.067	94.8508
934.867	94.4596
936.668	94.165
938.469	94.3312
940.27	93.4784
942.071	92.9044
943.872	92.1043
945.673	91.851
947.474	91.7312
949.275	91.4149
951.076	90.8428
952.876	90.6629
954.677	89.9214
956.478	89.3384
958.279	89.3039
960.08	89.0252
961.881	87.7638
963.682	87.6382
965.483	86.4507
967.284	86.0255
969.085	85.7258
970.885	85.6672
972.686	84.5076
974.487	83.9018
976.288	83.5546
978.089	82.9444
979.89	82.0806
981.691	82.2891
983.492	80.9857
985.293	80.4677
987.094	79.6784
988.894	79.2945
990.695	78.8959
992.496	78.3878
994.297	77.025
996.098	76.9517
997.899	76.1582
999.7	75.6629
1001.5	74.7267
1003.3	74.0898
1005.1	73.8275
1006.9	73.2445
1008.7	72.8509
1010.51	71.877
1012.31	71.2359
1014.11	69.9963
1015.91	69.7341
1017.71	69.6006
1019.51	68.9092
1021.31	69.0251
1023.11	67.9508
1024.91	67.7792
1026.71	67.4006
1028.51	67.5351
1030.32	66.6514
1032.12	66.6565
1033.92	66.2938
1035.72	66.2486
1037.52	66.0042
1039.32	65.5401
1041.12	64.8723
1042.92	65.1732
1044.72	65.1292
1046.52	65.1445
1048.32	64.7924
1050.13	65.3423
1051.93	65.0221
1053.73	64.7913
1055.53	65.0108
1057.33	65.8387
1059.13	65.6021
1060.93	65.8905
1062.73	65.4666
1064.53	65.805
1066.33	66.0687
1068.13	66.6179
1069.93	66.8273
1071.74	67.076
1073.54	67.4827
1075.34	67.7475
1077.14	68.3492
1078.94	69.1773
1080.74	68.851
1082.54	69.8909
1084.34	70.7022
1086.14	70.7525
1087.94	71.1847
1089.74	72.1722
1091.55	72.1653
1093.35	73.0324
1095.15	73.3174
1096.95	73.6689
1098.75	74.7938
1100.55	75.0776
1102.35	76.0768
1104.15	77.0436
1105.95	77.898
1107.75	78.0052
1109.55	78.9197
1111.36	79.3707
1113.16	79.7723
1114.96	79.9441
1116.76	81.6407
1118.56	81.4653
1120.36	82.8171
1122.16	83.1796
1123.96	83.3352
1125.76	84.3234
1127.56	85.463
1129.36	85.868
1131.17	85.8278
1132.97	86.3319
1134.77	87.1283
1136.57	87.5899
1138.37	88.5286
1140.17	88.9073
1141.97	88.6817
1143.77	89.8177
1145.57	90.1037
1147.37	90.6323
1149.17	91.1458
1150.98	91.8667
1152.78	92.2224
1154.58	92.1121
1156.38	92.7133
1158.18	92.9761
1159.98	92.972
1161.78	93.7957
1163.58	94.7202
1165.38	93.9779
1167.18	94.7955
1168.98	95.084
1170.79	95.4724
1172.59	95.3697
1174.39	95.4911
1176.19	95.753
1177.99	96.802
1179.79	96.3325
1181.59	96.6909
1183.39	97.6748
1185.19	97.0152
1186.99	97.5201
1188.79	97.9087
1190.6	98.057
1192.4	97.5064
1194.2	97.8367
1196	98.2779
1197.8	98.8943
1199.6	98.2079
1201.4	98.4017
1203.2	98.782
1205	98.9418
1206.8	99.0533
1208.6	98.6826
1210.41	98.8585
1212.21	99.1588
1214.01	99.5439
1215.81	99.1597
1217.61	99.2861
1219.41	99.0422
1221.21	99.962
1223.01	99.4986
1224.81	99.8213
1226.61	99.5491
1228.41	99.6048
1230.22	99.1653
1232.02	99.0034
1233.82	100.055
1235.62	99.7311
1237.42	99.7957
1239.22	99.3829
1241.02	99.5087
1242.82	100.119
1244.62	100.34
1246.42	99.6489
1248.22	100.052
1250.03	99.9219
1251.83	99.8416
1253.63	100.445
1255.43	99.7644
1257.23	100.282
1259.03	100.033
1260.83	99.922
1262.63	100.346
1264.43	100.028
1266.23	99.9181
1268.03	100.366
1269.83	100.332
1271.64	100.322
1273.44	98.7996
1275.24	100.102
1277.04	100.036
1278.84	99.9653
1280.64	100.161
1282.44	100.059
1284.24	100.186
1286.04	99.9044
1287.84	100.436
1289.64	100.222
1291.45	100.152
1293.25	100.139
1295.05	100.339
1296.85	100.299
1298.65	99.9596
1300.45	100.291
1302.25	100.047
1304.05	100.571
1305.85	100.325
1307.65	99.8089
1309.45	100.696
1311.26	99.3667
1313.06	100.189
1314.86	99.7891
1316.66	100.563
1318.46	100.074
1320.26	99.7605
1322.06	99.9189
1323.86	99.7848
1325.66	99.9074
1327.46	99.9006
1329.26	99.774
1331.07	100.08
1332.87	100.117
1334.67	99.7007
1336.47	99.5021
1338.27	100.093
1340.07	100.159
1341.87	100.219
1343.67	100.165
1345.47	100.472
1347.27	100.299
1349.07	100.804
1350.88	100.93
1352.68	99.4725
1354.48	99.3408
1356.28	99.9977
1358.08	100.151
1359.88	99.9772
1361.68	100.211
1363.48	99.9189
1365.28	99.7918
1367.08	99.8371
1368.88	99.9399
1370.69	100.253
1372.49	99.8539
1374.29	99.9132
1376.09	100.171
1377.89	99.9403
1379.69	100.335
1381.49	99.724
1383.29	99.6589
1385.09	100.091
1386.89	100.121
1388.69	99.7402
1390.5	100.403
1392.3	100.577
1394.1	99.8112
1395.9	100.446
1397.7	99.2847
1399.5	100.322
1401.3	99.7418
1403.1	100.292
1404.9	99.7104
1406.7	99.9781
1408.5	99.7553
1410.31	99.9339
1412.11	100.547
1413.91	99.965
1415.71	100.63
1417.51	99.8807
1419.31	100.443
1421.11	99.5074
1422.91	99.9084
1424.71	99.8326
1426.51	100.454
1428.31	100.047
1430.12	99.3634
1431.92	99.5952
1433.72	99.6827
1435.52	100.265
1437.32	100.224
1439.12	99.8894
1440.92	99.8119
1442.72	100.188
1444.52	99.6303
1446.32	100.102
1448.12	100.072
1449.92	99.8719
1451.73	100.067
1453.53	99.9715
1455.33	100.082
1457.13	99.5237
1458.93	100.098
1460.73	100.211
1462.53	99.9864
1464.33	100.056
1466.13	99.8275
1467.93	100.11
1469.73	99.8433
1471.54	99.4579
1473.34	100.025
1475.14	99.262
1476.94	99.808
1478.74	99.5758
1480.54	99.5213
1482.34	99.6685
1484.14	99.3614
1485.94	99.681
1487.74	99.493
1489.54	99.2346
1491.35	99.7599
1493.15	99.3529
1494.95	99.4078
1496.75	99.5643
