# capacity	voltage
0	3.2
0.300601	3.204
0.601202	3.20798
0.901804	3.21193
1.2024	3.21587
1.50301	3.21979
1.80361	3.22369
2.10421	3.22757
2.40481	3.23143
2.70541	3.23527
3.00601	3.23909
3.30661	3.2429
3.60721	3.24668
3.90782	3.25044
4.20842	3.25419
4.50902	3.25792
4.80962	3.26163
5.11022	3.26532
5.41082	3.26899
5.71142	3.27264
6.01202	3.27628
6.31263	3.27989
6.61323	3.28349
6.91383	3.28707
7.21443	3.29063
7.51503	3.29418
7.81563	3.29771
8.11623	3.30122
8.41683	3.30471
8.71743	3.30818
9.01804	3.31164
9.31864	3.31508
9.61924	3.3185
9.91984	3.32191
10.2204	3.3253
10.521	3.32867
10.8216	3.33202
11.1222	3.33536
11.4228	3.33868
11.7234	3.34199
12.024	3.34528
12.3246	3.34855
12.6253	3.35181
12.9259	3.35504
13.2265	3.35827
13.5271	3.36148
13.8277	3.36467
14.1283	3.36784
14.4289	3.371
14.7295	3.37414
15.0301	3.37727
15.3307	3.38038
15.6313	3.38348
15.9319	3.38656
16.2325	3.38963
16.5331	3.39268
16.8337	3.39571
17.1343	3.39873
17.4349	3.40174
17.7355	3.40473
18.0361	3.4077
18.3367	3.41066
18.6373	3.41361
18.9379	3.41654
19.2385	3.41945
19.5391	3.42235
19.8397	3.42524
20.1403	3.42811
20.4409	3.43097
20.7415	3.43382
21.0421	3.43664
21.3427	3.43946
21.6433	3.44226
21.9439	3.44505
22.2445	3.44782
22.5451	3.45058
22.8457	3.45333
23.1463	3.45606
23.4469	3.45878
23.7475	3.46148
24.0481	3.46417
24.3487	3.46685
24.6493	3.46952
24.9499	3.47217
25.2505	3.4748
25.5511	3.47743
25.8517	3.48004
26.1523	3.48264
26.4529	3.48522
26.7535	3.4878
27.0541	3.49036
27.3547	3.4929
27.6553	3.49544
27.9559	3.49796
28.2565	3.50047
28.5571	3.50297
28.8577	3.50545
29.1583	3.50792
29.4589	3.51038
29.7595	3.51283
30.0601	3.51526
30.3607	3.51768
30.6613	3.52009
30.9619	3.52249
31.2625	3.52488
31.5631	3.52725
31.8637	3.52962
32.1643	3.53197
32.4649	3.53431
32.7655	3.53663
33.0661	3.53895
33.3667	3.54125
33.6673	3.54355
33.9679	3.54583
34.2685	3.5481
34.5691	3.55035
34.8697	3.5526
35.1703	3.55484
35.4709	3.55706
35.7715	3.55928
36.0721	3.56148
36.3727	3.56367
36.6733	3.56585
36.9739	3.56802
37.2745	3.57018
37.5752	3.57233
37.8758	3.57446
38.1764	3.57659
38.477	3.57871
38.7776	3.58081
39.0782	3.58291
39.3788	3.58499
39.6794	3.58707
39.98	3.58913
40.2806	3.59118
40.5812	3.59323
40.8818	3.59526
41.1824	3.59728
41.483	3.59929
41.7836	3.6013
42.0842	3.60329
42.3848	3.60527
42.6854	3.60724
42.986	3.60921
43.2866	3.61116
43.5872	3.6131
43.8878	3.61504
44.1884	3.61696
44.489	3.61887
44.7896	3.62078
45.0902	3.62267
45.3908	3.62456
45.6914	3.62644
45.992	3.6283
46.2926	3.63016
46.5932	3.63201
46.8938	3.63385
47.1944	3.63568
47.495	3.6375
47.7956	3.63931
48.0962	3.64111
48.3968	3.64291
48.6974	3.64469
48.998	3.64647
49.2986	3.64823
49.5992	3.64999
49.8998	3.65174
50.2004	3.65348
50.501	3.65521
50.8016	3.65694
51.1022	3.65865
51.4028	3.66036
51.7034	3.66205
52.004	3.66374
52.3046	3.66542
52.6052	3.66709
52.9058	3.66876
53.2064	3.67041
53.507	3.67206
53.8076	3.6737
54.1082	3.67533
54.4088	3.67695
54.7094	3.67857
55.01	3.68017
55.3106	3.68177
55.6112	3.68336
55.9118	3.68494
56.2124	3.68652
56.513	3.68809
56.8136	3.68964
57.1142	3.6912
57.4148	3.69274
57.7154	3.69427
58.016	3.6958
58.3166	3.69732
58.6172	3.69884
58.9178	3.70034
59.2184	3.70184
59.519	3.70333
59.8196	3.70481
60.1202	3.70629
60.4208	3.70775
60.7214	3.70921
61.022	3.71067
61.3226	3.71211
61.6232	3.71355
61.9238	3.71498
62.2244	3.71641
62.5251	3.71782
62.8257	3.71924
63.1263	3.72064
63.4269	3.72203
63.7275	3.72342
64.0281	3.72481
64.3287	3.72618
64.6293	3.72755
64.9299	3.72891
65.2305	3.73027
65.5311	3.73161
65.8317	3.73295
66.1323	3.73429
66.4329	3.73562
66.7335	3.73694
67.0341	3.73825
67.3347	3.73956
67.6353	3.74086
67.9359	3.74216
68.2365	3.74345
68.5371	3.74473
68.8377	3.746
69.1383	3.74727
69.4389	3.74854
69.7395	3.74979
70.0401	3.75104
70.3407	3.75229
70.6413	3.75353
70.9419	3.75476
71.2425	3.75598
71.5431	3.7572
71.8437	3.75842
72.1443	3.75962
72.4449	3.76082
72.7455	3.76202
73.0461	3.76321
73.3467	3.76439
73.6473	3.76557
73.9479	3.76674
74.2485	3.76791
74.5491	3.76907
74.8497	3.77022
75.1503	3.77137
75.4509	3.77251
75.7515	3.77365
76.0521	3.77478
76.3527	3.77591
76.6533	3.77703
76.9539	3.77814
77.2545	3.77925
77.5551	3.78035
77.8557	3.78145
78.1563	3.78254
78.4569	3.78363
78.7575	3.78471
79.0581	3.78579
79.3587	3.78686
79.6593	3.78792
79.9599	3.78898
80.2605	3.79004
80.5611	3.79109
80.8617	3.79213
81.1623	3.79317
81.4629	3.7942
81.7635	3.79523
82.0641	3.79625
82.3647	3.79727
82.6653	3.79828
82.9659	3.79929
83.2665	3.8003
83.5671	3.80129
83.8677	3.80229
84.1683	3.80328
84.4689	3.80426
84.7695	3.80524
85.0701	3.80621
85.3707	3.80718
85.6713	3.80814
85.9719	3.8091
86.2725	3.81005
86.5731	3.811
86.8737	3.81195
87.1743	3.81289
87.4749	3.81382
87.7756	3.81475
88.0762	3.81568
88.3768	3.8166
88.6774	3.81752
88.978	3.81843
89.2786	3.81934
89.5792	3.82024
89.8798	3.82114
90.1804	3.82203
90.481	3.82292
90.7816	3.82381
91.0822	3.82469
91.3828	3.82556
91.6834	3.82643
91.984	3.8273
92.2846	3.82816
92.5852	3.82902
92.8858	3.82988
93.1864	3.83073
93.487	3.83157
93.7876	3.83242
94.0882	3.83325
94.3888	3.83409
94.6894	3.83492
94.99	3.83574
95.2906	3.83656
