# wavelength_nm	intensity
400	0.0701787
400.4	0.0529931
400.801	0.0387078
401.201	0.0511728
401.602	0.0602144
402.002	0.0245347
402.402	0.0517629
402.803	0.0462759
403.203	0.03358
403.604	0.0508193
404.004	0.0486352
404.404	0.0497591
404.805	0.0465174
405.205	0.0397866
405.606	0.035452
406.006	0.0430931
406.406	0.0585925
406.807	0.0523307
407.207	0.0493083
407.608	0.0396023
408.008	0.0462609
408.408	0.0573716
408.809	0.0550478
409.209	0.045228
409.61	0.023886
410.01	0.0432515
410.41	0.0451731
410.811	0.0409289
411.211	0.0458682
411.612	0.0581655
412.012	0.049627
412.412	0.059897
412.813	0.0349163
413.213	0.0469494
413.614	0.0306098
414.014	0.0457342
414.414	0.0395434
414.815	0.0628125
415.215	0.0540971
415.616	0.0601483
416.016	0.0457065
416.416	0.0398028
416.817	0.0394844
417.217	0.0526544
417.618	0.0681016
418.018	0.0541238
418.418	0.0462523
418.819	0.0481123
419.219	0.049687
419.62	0.0702664
420.02	0.0623361
420.42	0.0525996
420.821	0.0510973
421.221	0.0529935
421.622	0.0549428
422.022	0.045868
422.422	0.0415592
422.823	0.0603222
423.223	0.0502198
423.624	0.0594873
424.024	0.0664616
424.424	0.0552061
424.825	0.0535855
425.225	0.0820024
425.626	0.0520702
426.026	0.0390945
426.426	0.0471877
426.827	0.0655168
427.227	0.0370583
427.628	0.0424754
428.028	0.0610643
428.428	0.0472838
428.829	0.0488975
429.229	0.0607337
429.63	0.0428318
430.03	0.035314
430.43	0.0361111
430.831	0.0558178
431.231	0.0525913
431.632	0.0430743
432.032	0.0384121
432.432	0.0472943
432.833	0.0611652
433.233	0.0416418
433.634	0.0433732
434.034	0.0380948
434.434	0.0463259
434.835	0.0533808
435.235	0.0711517
435.636	0.0521778
436.036	0.0494632
436.436	0.0586294
436.837	0.0569622
437.237	0.0442234
437.638	0.0730206
438.038	0.0497562
438.438	0.0523638
438.839	0.0555135
439.239	0.0534587
439.64	0.065254
440.04	0.0441009
440.44	0.0578338
440.841	0.0516457
441.241	0.0598272
441.642	0.0478501
442.042	0.0464958
442.442	0.0573207
442.843	0.0535799
443.243	0.0417971
443.644	0.0634561
444.044	0.0573251
444.444	0.049258
444.845	0.0453177
445.245	0.0536413
445.646	0.0566049
446.046	0.0340592
446.446	0.0537568
446.847	0.0565255
447.247	0.0264755
447.648	0.0519619
448.048	0.0569461
448.448	0.0558088
448.849	0.0580245
449.249	0.0467243
449.65	0.0396009
450.05	0.0320026
450.45	0.0609222
450.851	0.0570307
451.251	0.0616849
451.652	0.0427486
452.052	0.0580384
452.452	0.0349732
452.853	0.0413051
453.253	0.0512598
453.654	0.0566321
454.054	0.0667901
454.454	0.0475994
454.855	0.0413425
455.255	0.0408285
455.656	0.0431215
456.056	0.0722103
456.456	0.0575687
456.857	0.0611253
457.257	0.0476101
457.658	0.0499835
458.058	0.0569926
458.458	0.044942
458.859	0.0470869
459.259	0.043253
459.66	0.0455251
460.06	0.0504898
460.46	0.0417829
460.861	0.0528598
461.261	0.0528458
461.662	0.0482075
462.062	0.0417254
462.462	0.0510496
462.863	0.044951
463.263	0.0504659
463.664	0.0609813
464.064	0.0374706
464.464	0.0717349
464.865	0.0492748
465.265	0.0541184
465.666	0.0424725
466.066	0.0614221
466.466	0.0487437
466.867	0.0460588
467.267	0.0442449
467.668	0.0473151
468.068	0.0541835
468.468	0.0517281
468.869	0.0496014
469.269	0.0428858
469.67	0.0423083
470.07	0.0453913
470.47	0.0546028
470.871	0.0566226
471.271	0.0579705
471.672	0.0499854
472.072	0.0538356
472.472	0.0483155
472.873	0.0325771
473.273	0.0478408
473.674	0.0462468
474.074	0.0396096
474.474	0.0443261
474.875	0.051351
475.275	0.0386676
475.676	0.0428922
476.076	0.0654791
476.476	0.033973
476.877	0.0481683
477.277	0.038337
477.678	0.0424837
478.078	0.0480227
478.478	0.0401243
478.879	0.0557394
479.279	0.0635116
479.68	0.0584169
480.08	0.0602463
480.48	0.0362028
480.881	0.0475695
481.281	0.0546744
481.682	0.0587121
482.082	0.0675338
482.482	0.0606907
482.883	0.0589652
483.283	0.0763363
483.684	0.0509634
484.084	0.0471098
484.484	0.051774
484.885	0.0408499
485.285	0.0506768
485.686	0.032732
486.086	0.0447054
486.486	0.0488473
486.887	0.0594971
487.287	0.0611117
487.688	0.0403647
488.088	0.0707612
488.488	0.0514847
