# 2theta	I_obs	I_calc	I_bkg
10	0.065251	0.05	0.05
10.0584	0.0521025	0.0500292	0.0500292
10.1168	0.0222001	0.0500584	0.0500584
10.1751	0.0622434	0.0500876	0.0500876
10.2335	0.0285362	0.0501168	0.0501168
10.2919	0.050671	0.050146	0.050146
10.3503	0.0484387	0.0501751	0.0501751
10.4087	0.0289378	0.0502043	0.0502043
10.4671	0.0558211	0.0502335	0.0502335
10.5254	0.0825775	0.0502627	0.0502627
10.5838	0.0456028	0.0502919	0.0502919
10.6422	0.0618093	0.0503211	0.0503211
10.7006	0.0856856	0.0503503	0.0503503
10.759	0.0633187	0.0503795	0.0503795
10.8173	0.040736	0.0504087	0.0504087
10.8757	0.0539931	0.0504379	0.0504379
10.9341	0.0576788	0.0504671	0.0504671
10.9925	0.0720034	0.0504962	0.0504962
11.0509	0.0687362	0.0505254	0.0505254
11.1093	0.00900637	0.0505546	0.0505546
11.1676	0.0377408	0.0505838	0.0505838
11.226	0.0495626	0.050613	0.050613
11.2844	0.0354129	0.0506422	0.0506422
11.3428	-0.00482998	0.0506714	0.0506714
11.4012	0.0398163	0.0507006	0.0507006
11.4595	0.0506756	0.0507298	0.0507298
11.5179	0.0428797	0.050759	0.050759
11.5763	0.035834	0.0507882	0.0507882
11.6347	0.0514393	0.0508173	0.0508173
11.6931	0.0559929	0.0508465	0.0508465
11.7515	0.0438468	0.0508757	0.0508757
11.8098	0.0714811	0.0509049	0.0509049
11.8682	0.0517998	0.0509341	0.0509341
11.9266	0.0378906	0.0509633	0.0509633
11.985	0.0341244	0.0509925	0.0509925
12.0434	0.0478271	0.0510217	0.0510217
12.1018	0.0677522	0.0510509	0.0510509
12.1601	0.0387247	0.0510801	0.0510801
12.2185	0.0600474	0.0511093	0.0511093
12.2769	0.0525568	0.0511384	0.0511384
12.3353	0.0810661	0.0511676	0.0511676
12.3937	0.0570506	0.0511968	0.0511968
12.452	0.0407526	0.051226	0.051226
12.5104	0.0623008	0.0512552	0.0512552
12.5688	0.0628347	0.0512844	0.0512844
12.6272	0.0453584	0.0513136	0.0513136
12.6856	0.0338829	0.0513428	0.0513428
12.744	0.0594125	0.051372	0.051372
12.8023	0.0523539	0.0514012	0.0514012
12.8607	0.0286821	0.0514304	0.0514304
12.9191	0.0552774	0.0514595	0.0514595
12.9775	0.0419338	0.0514887	0.0514887
13.0359	0.0287839	0.0515179	0.0515179
13.0942	0.0462654	0.0515471	0.0515471
13.1526	0.0708201	0.0515763	0.0515763
13.211	0.0697264	0.0516055	0.0516055
13.2694	0.065836	0.0516347	0.0516347
13.3278	0.0557024	0.0516639	0.0516639
13.3862	0.06063	0.0516931	0.0516931
13.4445	0.0532019	0.0517223	0.0517223
13.5029	0.0351757	0.0517515	0.0517515
13.5613	0.0381981	0.0517807	0.0517807
13.6197	0.0427021	0.0518098	0.0518098
13.6781	0.0728594	0.051839	0.051839
13.7364	0.0680186	0.0518682	0.0518682
13.7948	0.0356993	0.0518974	0.0518974
13.8532	0.0527275	0.0519266	0.0519266
13.9116	0.0459167	0.0519558	0.0519558
13.97	0.0496585	0.051985	0.051985
14.0284	0.0439735	0.0520142	0.0520142
14.0867	0.0731287	0.0520434	0.0520434
14.1451	0.051789	0.0520726	0.0520726
14.2035	0.0553441	0.0521018	0.0521018
14.2619	0.0554948	0.0521309	0.0521309
14.3203	0.0367436	0.0521601	0.0521601
14.3786	0.0538176	0.0521893	0.0521893
14.437	0.0681533	0.0522185	0.0522185
14.4954	0.0743381	0.0522477	0.0522477
14.5538	0.0350597	0.0522769	0.0522769
14.6122	0.0295271	0.0523061	0.0523061
14.6706	0.0532673	0.0523353	0.0523353
14.7289	0.0690023	0.0523645	0.0523645
14.7873	0.0577876	0.0523937	0.0523937
14.8457	0.0626273	0.0524229	0.0524229
14.9041	0.0320483	0.052452	0.052452
14.9625	0.0439014	0.0524812	0.0524812
15.0209	0.0195687	0.0525104	0.0525104
15.0792	0.0504023	0.0525396	0.0525396
15.1376	0.0201055	0.0525688	0.0525688
15.196	0.0725879	0.052598	0.052598
15.2544	0.0759495	0.0526272	0.0526272
15.3128	0.054766	0.0526564	0.0526564
15.3711	0.029997	0.0526856	0.0526856
15.4295	0.0583505	0.0527148	0.0527148
15.4879	0.0806309	0.052744	0.052744
15.5463	0.0599092	0.0527731	0.0527731
15.6047	0.0705771	0.0528023	0.0528023
15.6631	0.045554	0.0528315	0.0528315
15.7214	0.0397926	0.0528607	0.0528607
15.7798	0.051827	0.0528899	0.0528899
15.8382	0.0240185	0.0529191	0.0529191
15.8966	0.0869096	0.0529483	0.0529483
15.955	0.0550722	0.0529775	0.0529775
16.0133	0.0660083	0.0530067	0.0530067
16.0717	0.0461132	0.0530359	0.0530359
16.1301	0.0299188	0.0530651	0.0530651
16.1885	0.0744815	0.0530942	0.0530942
16.2469	0.0362619	0.0531234	0.0531234
16.3053	0.0583852	0.0531526	0.0531526
16.3636	0.0598281	0.0531818	0.0531818
16.422	0.0543203	0.053211	0.053211
16.4804	0.0414714	0.0532402	0.0532402
16.5388	0.0510249	0.0532694	0.0532694
16.5972	0.0390478	0.0532986	0.0532986
16.6555	0.0654654	0.0533278	0.0533278
16.7139	0.0619302	0.053357	0.053357
16.7723	0.0530651	0.0533862	0.0533862
16.8307	0.0448901	0.0534153	0.0534153
16.8891	0.0850543	0.0534445	0.0534445
16.9475	0.0339428	0.0534737	0.0534737
17.0058	0.0303337	0.0535029	0.0535029
17.0642	0.052302	0.0535321	0.0535321
17.1226	0.0496906	0.0535613	0.0535613
17.181	0.0700542	0.0535905	0.0535905
17.2394	0.0633114	0.0536197	0.0536197
17.2977	0.0540918	0.0536489	0.0536489
17.3561	0.0611831	0.0536781	0.0536781
17.4145	0.0609397	0.0537073	0.0537073
17.4729	0.0852898	0.0537364	0.0537364
17.5313	0.0575661	0.0537656	0.0537656
17.5897	0.0435787	0.0537948	0.0537948
17.648	0.0568015	0.053824	0.053824
17.7064	0.014573	0.0538532	0.0538532
17.7648	0.0533927	0.0538824	0.0538824
17.8232	0.0703063	0.0539116	0.0539116
17.8816	0.0629735	0.0539408	0.0539408
17.9399	0.0584483	0.05397	0.05397
17.9983	0.0637378	0.0539992	0.0539992
18.0567	0.0705772	0.0540284	0.0540284
18.1151	0.075436	0.0540575	0.0540575
18.1735	0.0607986	0.0540867	0.0540867
18.2319	0.0493743	0.0541159	0.0541159
18.2902	0.0194423	0.0541451	0.0541451
18.3486	0.0688469	0.0541743	0.0541743
18.407	0.0619315	0.0542035	0.0542035
18.4654	0.0565226	0.0542327	0.0542327
18.5238	0.0439411	0.0542619	0.0542619
18.5822	0.0687684	0.0542911	0.0542911
18.6405	0.0504617	0.0543203	0.0543203
18.6989	0.0538331	0.0543495	0.0543495
18.7573	0.0535388	0.0543786	0.0543786
18.8157	0.0611556	0.0544078	0.0544078
18.8741	0.0372076	0.054437	0.054437
18.9324	0.0629045	0.0544662	0.0544662
18.9908	0.0436821	0.0544954	0.0544954
19.0492	0.0442375	0.0545246	0.0545246
19.1076	0.0678324	0.0545538	0.0545538
19.166	0.0396576	0.054583	0.054583
19.2244	0.0678638	0.0546122	0.0546122
19.2827	0.0561619	0.0546414	0.0546414
19.3411	0.0299464	0.0546706	0.0546706
19.3995	0.0751669	0.0546997	0.0546997
19.4579	0.0593827	0.0547289	0.0547289
19.5163	0.06067	0.0547581	0.0547581
19.5746	0.069896	0.0547873	0.0547873
19.633	0.0773048	0.0548165	0.0548165
19.6914	0.0578611	0.0548457	0.0548457
19.7498	0.0641342	0.0548749	0.0548749
19.8082	0.0604719	0.0549041	0.0549041
19.8666	0.0497903	0.0549333	0.0549333
19.9249	0.0312109	0.0549625	0.0549625
19.9833	0.0582155	0.0549917	0.0549917
20.0417	0.0757049	0.0550209	0.0550209
20.1001	0.0638	0.05505	0.05505
20.1585	0.0390679	0.0550792	0.0550792
20.2168	0.0715712	0.0551084	0.0551084
20.2752	0.0504956	0.0551376	0.0551376
20.3336	0.0237864	0.0551668	0.0551668
20.392	0.0704646	0.055196	0.055196
20.4504	0.0410445	0.0552252	0.0552252
20.5088	0.0819653	0.0552544	0.0552544
20.5671	0.0725002	0.0552836	0.0552836
20.6255	0.0518958	0.0553128	0.0553128
20.6839	0.0622323	0.055342	0.055342
20.7423	0.0917299	0.0553711	0.0553711
20.8007	0.0704004	0.0554003	0.0554003
20.859	0.0590025	0.0554295	0.0554295
20.9174	0.098796	0.0554587	0.0554587
20.9758	0.0572516	0.0554879	0.0554879
21.0342	0.0642443	0.0555171	0.0555171
21.0926	0.0415031	0.0555463	0.0555463
21.151	0.0304547	0.0555755	0.0555755
21.2093	0.0512876	0.0556047	0.0556047
21.2677	0.05621	0.0556339	0.0556339
21.3261	0.060602	0.0556631	0.0556631
21.3845	0.0343957	0.0556922	0.0556922
21.4429	0.0656315	0.0557214	0.0557214
21.5013	0.0432948	0.0557506	0.0557506
21.5596	0.0649108	0.0557798	0.0557798
21.618	0.0698329	0.055809	0.055809
21.6764	0.0499056	0.0558382	0.0558382
21.7348	0.0414101	0.0558674	0.0558674
21.7932	0.0790513	0.0558966	0.0558966
21.8515	0.0690195	0.0559258	0.0559258
21.9099	0.0582346	0.055955	0.055955
21.9683	0.0780106	0.0559842	0.0559842
22.0267	0.0572623	0.0560133	0.0560133
22.0851	0.0467349	0.0560425	0.0560425
22.1435	0.0410462	0.0560717	0.0560717
22.2018	0.0544839	0.0561009	0.0561009
22.2602	0.0677059	0.0561301	0.0561301
22.3186	0.0770057	0.0561593	0.0561593
22.377	0.0565411	0.0561885	0.0561885
22.4354	0.0744146	0.0562177	0.0562177
22.4937	0.0530328	0.0562469	0.0562469
22.5521	0.0445521	0.0562761	0.0562761
22.6105	0.0367106	0.0563053	0.0563053
22.6689	0.0487408	0.0563344	0.0563344
22.7273	0.0373338	0.0563636	0.0563636
22.7857	0.0865355	0.0563928	0.0563928
22.844	0.0630115	0.056422	0.056422
22.9024	0.055017	0.0564512	0.0564512
22.9608	0.0823104	0.0564804	0.0564804
23.0192	0.0369756	0.0565096	0.0565096
23.0776	0.0544816	0.0565388	0.0565388
23.1359	0.0865631	0.056568	0.056568
23.1943	0.0544366	0.0565972	0.0565972
23.2527	0.0933286	0.0566264	0.0566264
23.3111	0.0684396	0.0566555	0.0566555
23.3695	0.0762736	0.0566847	0.0566847
23.4279	0.0767374	0.0567139	0.0567139
23.4862	0.0567672	0.0567431	0.0567431
23.5446	0.0494491	0.0567723	0.0567723
23.603	0.0550699	0.0568015	0.0568015
23.6614	0.0420267	0.0568307	0.0568307
23.7198	0.0558704	0.0568599	0.0568599
23.7781	0.056823	0.0568891	0.0568891
23.8365	0.0822568	0.0569183	0.0569183
23.8949	0.0658466	0.0569475	0.0569475
23.9533	0.0924159	0.0569766	0.0569766
24.0117	0.0246127	0.0570058	0.0570058
24.0701	0.0387794	0.057035	0.057035
24.1284	0.051734	0.0570642	0.0570642
24.1868	0.0794808	0.0570934	0.0570934
24.2452	0.0554789	0.0571226	0.0571226
24.3036	0.0351344	0.0571518	0.0571518
24.362	0.0535041	0.057181	0.057181
24.4204	0.0392462	0.0572102	0.0572102
24.4787	0.036335	0.0572394	0.0572394
24.5371	0.087251	0.0572686	0.0572686
24.5955	0.0520236	0.0572977	0.0572977
24.6539	0.0599242	0.0573269	0.0573269
24.7123	0.0559618	0.0573561	0.0573561
24.7706	0.0536129	0.0573853	0.0573853
24.829	0.0448046	0.0574145	0.0574145
24.8874	0.0527842	0.0574437	0.0574437
24.9458	0.0625314	0.0574729	0.0574729
25.0042	0.0787816	0.0575021	0.0575021
25.0626	0.0717428	0.0575313	0.0575313
25.1209	0.0392745	0.0575605	0.0575605
25.1793	0.0724176	0.0575897	0.0575897
25.2377	0.0647504	0.0576188	0.0576188
25.2961	0.0482772	0.057648	0.057648
25.3545	0.0604087	0.0576772	0.0576772
25.4128	0.0662907	0.0577064	0.0577064
25.4712	0.0584414	0.0577356	0.0577356
25.5296	0.0649685	0.0577648	0.0577648
25.588	0.0448497	0.057794	0.057794
25.6464	0.0877157	0.0578232	0.0578232
25.7048	0.0289131	0.0578524	0.0578524
25.7631	0.0665493	0.0578816	0.0578816
25.8215	0.0634122	0.0579108	0.0579108
25.8799	0.0675841	0.0579399	0.0579399
25.9383	0.0473436	0.0579691	0.0579691
25.9967	0.0755363	0.0579983	0.0579983
26.055	0.0564078	0.0580275	0.0580275
26.1134	0.0402635	0.0580567	0.0580567
26.1718	0.0416637	0.0580859	0.0580859
26.2302	0.0599857	0.0581151	0.0581151
26.2886	0.0341965	0.0581443	0.0581443
26.347	0.0851811	0.0581735	0.0581735
26.4053	0.0739365	0.0582027	0.0582027
26.4637	0.0856345	0.0582319	0.0582319
26.5221	0.0840824	0.0582611	0.0582611
26.5805	0.0530116	0.0582902	0.0582902
26.6389	0.0452795	0.0583194	0.0583194
26.6972	0.018182	0.0583486	0.0583486
26.7556	0.0522843	0.0583778	0.0583778
26.814	0.0848918	0.058407	0.058407
26.8724	0.0460184	0.0584362	0.0584362
26.9308	0.0553166	0.0584654	0.0584654
26.9892	0.0501761	0.0584947	0.0584946
27.0475	0.0641491	0.0585242	0.0585238
27.1059	0.0778458	0.0585545	0.058553
27.1643	0.0354989	0.0585871	0.0585822
27.2227	0.03841	0.0586266	0.0586113
27.2811	0.0809845	0.0586852	0.0586405
27.3394	0.0697894	0.0587934	0.0586697
27.3978	0.0551322	0.0590229	0.0586989
27.4562	0.0851384	0.0595321	0.0587281
27.5146	0.0401712	0.0606466	0.0587573
27.573	0.0769586	0.0629904	0.0587865
27.6314	0.0666498	0.0676734	0.0588157
27.6897	0.0856157	0.0765175	0.0588449
27.7481	0.0564553	0.0922625	0.0588741
27.8065	0.114725	0.118635	0.0589033
27.8649	0.171174	0.160122	0.0589324
27.9233	0.220333	0.221283	0.0589616
27.9817	0.324387	0.305557	0.0589908
28.04	0.432003	0.413676	0.05902
28.0984	0.527725	0.542103	0.0590492
28.1568	0.694456	0.682096	0.0590784
28.2152	0.805105	0.819995	0.0591076
28.2736	0.939894	0.939083	0.0591368
28.3319	1.03263	1.02279	0.059166
28.3903	1.04592	1.05845	0.0591952
28.4487	1.05223	1.04042	0.0592244
28.5071	0.964011	0.971591	0.0592535
28.5655	0.853857	0.862568	0.0592827
28.6239	0.739641	0.729041	0.0593119
28.6822	0.575544	0.588084	0.0593411
28.7406	0.441348	0.45465	0.0593703
28.799	0.354839	0.339221	0.0593995
28.8574	0.248631	0.247003	0.0594287
28.9158	0.15671	0.178522	0.0594579
28.9741	0.143887	0.131053	0.0594871
29.0325	0.0941499	0.100249	0.0595163
29.0909	0.0604534	0.0814986	0.0595455
29.1493	0.0331688	0.0707785	0.0595746
29.2077	0.0785695	0.0650183	0.0596038
29.2661	0.049212	0.0621108	0.059633
29.3244	0.0420782	0.0607359	0.0596622
29.3828	0.069723	0.060132	0.0596914
29.4412	0.0719787	0.0598918	0.0597206
29.4996	0.0480062	0.0598128	0.0597498
29.558	0.0734905	0.0598009	0.059779
29.6163	0.0906388	0.0598154	0.0598082
29.6747	0.0800396	0.0598396	0.0598374
29.7331	0.0777331	0.0598672	0.0598666
29.7915	0.0646079	0.0598959	0.0598957
29.8499	0.0532692	0.059925	0.0599249
29.9083	0.0591159	0.0599541	0.0599541
29.9666	0.0665944	0.0599833	0.0599833
30.025	0.0411498	0.0600125	0.0600125
30.0834	0.048501	0.0600417	0.0600417
30.1418	0.0386546	0.0600709	0.0600709
30.2002	0.0636279	0.0601001	0.0601001
30.2585	0.0613751	0.0601293	0.0601293
30.3169	0.0503678	0.0601585	0.0601585
30.3753	0.0724951	0.0601877	0.0601877
30.4337	0.0445478	0.0602168	0.0602168
30.4921	0.0498985	0.060246	0.060246
30.5505	0.0719831	0.0602752	0.0602752
30.6088	0.0742367	0.0603044	0.0603044
30.6672	0.0483977	0.0603336	0.0603336
30.7256	0.0638434	0.0603628	0.0603628
30.784	0.0487099	0.060392	0.060392
30.8424	0.0574611	0.0604212	0.0604212
30.9008	0.0626079	0.0604504	0.0604504
30.9591	0.0688851	0.0604796	0.0604796
31.0175	0.0652721	0.0605088	0.0605088
31.0759	0.0646354	0.0605379	0.0605379
31.1343	0.0443897	0.0605671	0.0605671
31.1927	0.0664205	0.0605963	0.0605963
31.251	0.0688915	0.0606255	0.0606255
31.3094	0.0709887	0.0606547	0.0606547
31.3678	0.0498911	0.0606839	0.0606839
31.4262	0.0744469	0.0607131	0.0607131
31.4846	0.0409838	0.0607423	0.0607423
31.543	0.0543092	0.0607715	0.0607715
31.6013	0.0566679	0.0608007	0.0608007
31.6597	0.0418937	0.0608299	0.0608299
31.7181	0.0564984	0.060859	0.060859
31.7765	0.0642105	0.0608882	0.0608882
31.8349	0.0335308	0.0609174	0.0609174
31.8932	0.0550263	0.0609466	0.0609466
31.9516	0.0347498	0.0609758	0.0609758
32.01	0.0916281	0.061005	0.061005
32.0684	0.0642216	0.0610342	0.0610342
32.1268	0.0629508	0.0610634	0.0610634
32.1852	0.0645737	0.0610926	0.0610926
32.2435	0.0701896	0.0611218	0.0611218
32.3019	0.0758233	0.061151	0.061151
32.3603	0.0377268	0.0611802	0.0611802
32.4187	0.080862	0.0612093	0.0612093
32.4771	0.0799259	0.0612385	0.0612385
32.5354	0.0602725	0.0612677	0.0612677
32.5938	0.059516	0.0612969	0.0612969
32.6522	0.0147847	0.0613261	0.0613261
32.7106	0.0426954	0.0613553	0.0613553
32.769	0.0691672	0.0613845	0.0613845
32.8274	0.0794229	0.0614137	0.0614137
32.8857	0.0723754	0.0614429	0.0614429
32.9441	0.0603363	0.0614721	0.0614721
33.0025	0.0903893	0.0615013	0.0615013
33.0609	0.0766081	0.0615304	0.0615304
33.1193	0.0556522	0.0615596	0.0615596
33.1776	0.0943205	0.0615888	0.0615888
33.236	0.0451755	0.061618	0.061618
33.2944	0.0395696	0.0616472	0.0616472
33.3528	0.0553598	0.0616764	0.0616764
33.4112	0.050326	0.0617056	0.0617056
33.4696	0.0562608	0.0617348	0.0617348
33.5279	0.0737353	0.061764	0.061764
33.5863	0.0612835	0.0617932	0.0617932
33.6447	0.0616979	0.0618224	0.0618224
33.7031	0.0627338	0.0618515	0.0618515
33.7615	0.0271959	0.0618807	0.0618807
33.8198	0.039181	0.0619099	0.0619099
33.8782	0.0561594	0.0619391	0.0619391
33.9366	0.0493244	0.0619683	0.0619683
33.995	0.0585207	0.0619975	0.0619975
34.0534	0.0830886	0.0620267	0.0620267
34.1118	0.0609391	0.0620559	0.0620559
34.1701	0.0422525	0.0620851	0.0620851
34.2285	0.0502178	0.0621143	0.0621143
34.2869	0.0878021	0.0621435	0.0621435
34.3453	0.0851601	0.0621726	0.0621726
34.4037	0.07114	0.0622018	0.0622018
34.4621	0.0387938	0.062231	0.062231
34.5204	0.0668623	0.0622602	0.0622602
34.5788	0.0680449	0.0622894	0.0622894
34.6372	0.0627017	0.0623186	0.0623186
34.6956	0.0537976	0.0623478	0.0623478
34.754	0.0569375	0.062377	0.062377
34.8123	0.0528104	0.0624062	0.0624062
34.8707	0.0452593	0.0624354	0.0624354
34.9291	0.0829544	0.0624646	0.0624646
34.9875	0.0757285	0.0624937	0.0624937
35.0459	0.058249	0.0625229	0.0625229
35.1043	0.0678348	0.0625521	0.0625521
35.1626	0.0684268	0.0625813	0.0625813
35.221	0.0977538	0.0626105	0.0626105
35.2794	0.0757282	0.0626397	0.0626397
35.3378	0.0751904	0.0626689	0.0626689
35.3962	0.0632678	0.0626981	0.0626981
35.4545	0.0562109	0.0627273	0.0627273
35.5129	0.0834971	0.0627565	0.0627565
35.5713	0.0725697	0.0627857	0.0627857
35.6297	0.0503717	0.0628148	0.0628148
35.6881	0.069652	0.062844	0.062844
35.7465	0.075434	0.0628732	0.0628732
35.8048	0.031465	0.0629024	0.0629024
35.8632	0.0490958	0.0629316	0.0629316
35.9216	0.0684023	0.0629608	0.0629608
35.98	0.0341231	0.06299	0.06299
36.0384	0.0365272	0.0630192	0.0630192
36.0967	0.0589914	0.0630484	0.0630484
36.1551	0.0704507	0.0630776	0.0630776
36.2135	0.0711735	0.0631068	0.0631068
36.2719	0.0868719	0.0631359	0.0631359
36.3303	0.0643991	0.0631651	0.0631651
36.3887	0.0576045	0.0631943	0.0631943
36.447	0.0436131	0.0632235	0.0632235
36.5054	0.0574833	0.0632527	0.0632527
36.5638	0.0738948	0.0632819	0.0632819
36.6222	0.0746019	0.0633111	0.0633111
36.6806	0.0673096	0.0633403	0.0633403
36.7389	0.0715762	0.0633695	0.0633695
36.7973	0.0825444	0.0633987	0.0633987
36.8557	0.0645569	0.0634279	0.0634279
36.9141	0.0839668	0.063457	0.063457
36.9725	0.0525865	0.0634862	0.0634862
37.0309	0.0624161	0.0635154	0.0635154
37.0892	0.0563321	0.0635446	0.0635446
37.1476	0.0754644	0.0635738	0.0635738
37.206	0.0483857	0.063603	0.063603
37.2644	0.0588057	0.0636322	0.0636322
37.3228	0.0357662	0.0636614	0.0636614
37.3812	0.0726062	0.0636906	0.0636906
37.4395	0.0824216	0.0637198	0.0637198
37.4979	0.0774096	0.063749	0.063749
37.5563	0.0759676	0.0637781	0.0637781
37.6147	0.0763983	0.0638073	0.0638073
37.6731	0.0743319	0.0638365	0.0638365
37.7314	0.0730817	0.0638657	0.0638657
37.7898	0.0740786	0.0638949	0.0638949
37.8482	0.0540889	0.0639241	0.0639241
37.9066	0.0609504	0.0639533	0.0639533
37.965	0.0650361	0.0639825	0.0639825
38.0234	0.0589761	0.0640117	0.0640117
38.0817	0.0405462	0.0640409	0.0640409
38.1401	0.0455449	0.0640701	0.0640701
38.1985	0.0675489	0.0640992	0.0640992
38.2569	0.0777151	0.0641284	0.0641284
38.3153	0.0642978	0.0641576	0.0641576
38.3736	0.105659	0.0641868	0.0641868
38.432	0.0504196	0.064216	0.064216
38.4904	0.0709193	0.0642452	0.0642452
38.5488	0.0836424	0.0642744	0.0642744
38.6072	0.0802887	0.0643036	0.0643036
38.6656	0.0741588	0.0643328	0.0643328
38.7239	0.0804158	0.064362	0.064362
38.7823	0.0652221	0.0643912	0.0643912
38.8407	0.0893636	0.0644204	0.0644204
38.8991	0.0836969	0.0644495	0.0644495
38.9575	0.0516953	0.0644787	0.0644787
39.0158	0.0693314	0.0645079	0.0645079
39.0742	0.0413277	0.0645371	0.0645371
39.1326	0.0873931	0.0645663	0.0645663
39.191	0.067959	0.0645955	0.0645955
39.2494	0.0848563	0.0646247	0.0646247
39.3078	0.0630135	0.0646539	0.0646539
39.3661	0.0368391	0.0646831	0.0646831
39.4245	0.104273	0.0647123	0.0647123
39.4829	0.0667078	0.0647415	0.0647415
39.5413	0.0497675	0.0647706	0.0647706
39.5997	0.0819863	0.0647998	0.0647998
39.658	0.0953669	0.064829	0.064829
39.7164	0.0618216	0.0648582	0.0648582
