# log_j	eta_V
-6	-0.0595121
-5.91525	-0.0508233
-5.83051	-0.0464514
-5.74576	-0.0443907
-5.66102	-0.0188312
-5.57627	-0.0206768
-5.49153	-0.0119543
-5.40678	-0.00872222
-5.32203	-0.00679311
-5.23729	0.00822757
-5.15254	0.0146551
-5.0678	0.027446
-4.98305	0.0365643
-4.89831	0.0460285
-4.81356	0.0573142
-4.72881	0.0715607
-4.64407	0.0746611
-4.55932	0.0883774
-4.47458	0.0955202
-4.38983	0.0937202
-4.30508	0.112617
-4.22034	0.119221
-4.13559	0.134886
-4.05085	0.139943
-3.9661	0.157096
-3.88136	0.169142
-3.79661	0.180425
-3.71186	0.192673
-3.62712	0.186366
-3.54237	0.19892
-3.45763	0.229724
-3.37288	0.230302
-3.28814	0.236546
-3.20339	0.245753
-3.11864	0.255478
-3.0339	0.256263
-2.94915	0.27224
-2.86441	0.285712
-2.77966	0.292861
-2.69492	0.303684
-2.61017	0.329573
-2.52542	0.325691
-2.44068	0.338509
-2.35593	0.348501
-2.27119	0.360405
-2.18644	0.365241
-2.10169	0.384032
-2.01695	0.390184
-1.9322	0.3917
-1.84746	0.407768
-1.76271	0.417614
-1.67797	0.427553
-1.59322	0.44136
-1.50847	0.452157
-1.42373	0.461736
-1.33898	0.471017
-1.25424	0.47992
-1.16949	0.478905
-1.08475	0.50372
-1	0.512442
