# T_C	weight_%
25	99.8884
25.97	100.249
26.9399	100.104
27.9099	99.8744
28.8798	99.8318
29.8498	99.871
30.8198	99.9031
31.7897	99.9611
32.7597	100.152
33.7297	99.8392
34.6996	100.327
35.6696	99.8405
36.6395	99.7694
37.6095	100.233
38.5795	100.176
39.5494	99.9493
40.5194	100.032
41.4894	100.034
42.4593	99.9922
43.4293	99.7754
44.3992	99.5955
45.3692	99.839
46.3392	100.236
47.3091	100.239
48.2791	99.9191
49.2491	99.812
50.219	99.9945
51.189	100.015
52.1589	100.036
53.1289	99.5637
54.0989	100.413
55.0688	100.105
56.0388	99.901
57.0088	99.8183
57.9787	100.069
58.9487	99.9904
59.9186	99.9244
60.8886	99.9734
61.8586	99.8815
62.8285	99.9521
63.7985	99.9937
64.7685	99.9287
65.7384	99.9129
66.7084	100.07
67.6783	99.6122
68.6483	99.7225
69.6183	99.8359
70.5882	99.7116
71.5582	99.7502
72.5282	99.9906
73.4981	99.7621
74.4681	99.4964
75.438	99.6927
76.408	99.7494
77.378	99.7303
78.3479	99.7904
79.3179	99.7598
80.2879	99.6484
81.2578	99.4698
82.2278	99.5608
83.1977	99.5106
84.1677	99.5371
85.1377	99.6579
86.1076	99.5879
87.0776	99.6225
88.0476	99.4114
89.0175	99.6638
89.9875	99.5053
90.9574	99.3865
91.9274	99.4236
92.8974	99.1935
93.8673	98.9385
94.8373	99.1218
95.8073	99.2811
96.7772	99.1353
97.7472	99.055
98.7171	98.8986
99.6871	98.6807
100.657	99.134
101.627	98.8334
102.597	98.7424
103.567	98.6463
104.537	98.8736
105.507	98.754
106.477	98.4112
107.447	98.6637
108.417	98.3982
109.387	98.2577
110.357	98.2329
111.327	98.0858
112.297	97.93
113.267	98.1683
114.237	97.9413
115.207	97.9886
116.176	97.8599
117.146	97.8193
118.116	97.3498
119.086	97.446
120.056	97.5806
121.026	97.2232
121.996	97.3898
122.966	97.0449
123.936	97.1762
124.906	97.3362
125.876	97.1326
126.846	96.6615
127.816	96.9902
128.786	97.0613
129.756	97.134
130.726	96.7136
131.696	96.3671
132.666	96.5682
133.636	96.6753
134.606	96.3425
135.576	96.4637
136.546	96.1198
137.516	96.2421
138.486	95.7553
139.456	95.9306
140.426	96.0188
141.395	95.9137
142.365	95.7236
143.335	95.7962
144.305	95.8751
145.275	95.769
146.245	95.7494
147.215	95.8102
148.185	95.6108
149.155	95.8299
150.125	95.443
151.095	95.8477
152.065	95.6942
153.035	95.4441
154.005	95.4258
154.975	95.4734
155.945	95.5068
156.915	95.5571
157.885	95.169
158.855	95.4141
159.825	95.0106
160.795	95.2822
161.765	95.5086
162.735	95.0607
163.705	95.0172
164.675	95.2748
165.645	95.4353
166.615	95.2624
167.584	94.915
168.554	94.9361
169.524	95.1918
170.494	94.9895
171.464	95.1767
172.434	95.1761
173.404	95.0642
174.374	95.4014
175.344	95.2098
176.314	95.2955
177.284	95.2448
178.254	95.0776
179.224	95.0648
180.194	95.0434
181.164	95.1847
182.134	94.9799
183.104	95.3313
184.074	94.9561
185.044	95.0959
186.014	95.0253
186.984	94.9883
187.954	95.3782
188.924	94.9831
189.894	95.0001
190.864	94.9433
191.834	95.0463
192.804	95.0223
193.773	94.8672
194.743	94.9691
195.713	95.122
196.683	95.1826
197.653	95.0302
198.623	95.0337
199.593	94.969
200.563	94.9462
201.533	94.8821
202.503	94.7851
203.473	94.9119
204.443	95.1516
205.413	94.9511
206.383	94.9618
207.353	94.9578
208.323	95.1983
209.293	94.8714
210.263	95.0513
211.233	94.9986
212.203	95.0183
213.173	95.044
214.143	95.0152
215.113	95.1248
216.083	95.0008
217.053	95.2662
218.023	95.0107
218.992	94.7479
219.962	95.0986
220.932	95.0611
221.902	95.0067
222.872	94.9623
223.842	94.6836
224.812	94.7083
225.782	95.247
226.752	94.9116
227.722	95.1438
228.692	94.7581
229.662	94.8411
230.632	95.0995
231.602	94.9819
232.572	95.0776
233.542	94.9945
234.512	94.9649
235.482	94.8937
236.452	94.8162
237.422	95.2053
238.392	95.2296
239.362	94.8383
240.332	94.8281
241.302	94.9411
242.272	95.0439
243.242	94.9651
244.212	95.0669
245.181	94.9841
246.151	94.9739
247.121	95.3525
248.091	94.9113
249.061	95.2356
250.031	95.2061
251.001	95.0642
251.971	94.6991
252.941	94.9922
253.911	94.9097
254.881	94.9894
255.851	94.8263
256.821	95.0986
257.791	95.1322
258.761	95.1593
259.731	94.9258
260.701	94.8235
261.671	95.0344
262.641	95.2443
263.611	94.9905
264.581	95.0471
265.551	94.9432
266.521	94.902
267.491	95.0754
268.461	94.9598
269.431	95.0352
270.401	95.0498
271.37	95.0248
272.34	95.0552
273.31	94.8424
274.28	94.8321
275.25	94.9616
276.22	94.9639
277.19	94.887
278.16	95.0001
279.13	95.0987
280.1	95.1391
281.07	95.1713
282.04	94.7606
283.01	94.7817
283.98	94.911
284.95	94.9647
285.92	94.915
286.89	94.8659
287.86	94.9011
288.83	95.0172
289.8	94.743
290.77	95.2917
291.74	94.941
292.71	95.093
293.68	94.8458
294.65	95.0163
295.62	94.9424
296.589	95.053
297.559	94.8917
298.529	95.1512
299.499	94.6914
300.469	95.0543
301.439	94.9262
302.409	94.752
303.379	95.1938
304.349	95.1744
305.319	94.5819
306.289	94.9153
307.259	94.9903
308.229	94.9461
309.199	95.1024
310.169	95.0663
311.139	94.9049
312.109	95.2013
313.079	94.9948
314.049	94.7958
315.019	94.7597
315.989	95.0228
316.959	94.7109
317.929	94.7617
318.899	94.7803
319.869	94.8623
320.839	94.7725
321.809	94.5961
322.778	94.9599
323.748	94.7165
324.718	95.0714
325.688	94.8049
326.658	94.9399
327.628	94.8346
328.598	94.927
329.568	94.8047
330.538	94.7434
331.508	94.8607
332.478	95.0577
333.448	94.632
334.418	94.7789
335.388	94.6455
336.358	94.7084
337.328	94.6244
338.298	94.2795
339.268	94.5576
340.238	94.7214
341.208	94.44
342.178	94.6755
343.148	94.5469
344.118	94.4719
345.088	94.617
346.058	94.5631
347.028	94.503
347.997	94.5705
348.967	94.426
349.937	94.1253
350.907	94.2909
351.877	94.0517
352.847	94.3947
353.817	94.4032
354.787	94.3818
355.757	94.2845
356.727	94.3258
357.697	93.9125
358.667	94.1001
359.637	93.8699
360.607	93.9931
361.577	94.2526
362.547	94.1362
363.517	94.0321
364.487	93.8647
365.457	93.7005
366.427	93.8336
367.397	93.9266
368.367	93.7742
369.337	93.4259
370.307	93.6286
371.277	93.2733
372.247	93.6264
373.217	93.3454
374.186	93.2073
375.156	93.4529
376.126	93.3513
377.096	93.2372
378.066	93.4638
379.036	93.1606
380.006	92.8964
380.976	92.9964
381.946	92.7983
382.916	92.9513
383.886	92.7208
384.856	92.6501
385.826	92.2883
386.796	92.4224
387.766	92.3103
388.736	92.0675
389.706	92.087
390.676	92.0813
391.646	91.9077
392.616	91.5854
393.586	91.6416
394.556	91.494
395.526	91.4711
396.496	91.329
397.466	91.1246
398.436	90.9848
399.406	90.9246
400.375	90.9168
401.345	90.6678
402.315	90.6888
403.285	90.4903
404.255	90.3853
405.225	90.202
406.195	90.0625
407.165	89.4817
408.135	89.5737
409.105	89.4764
410.075	89.3158
411.045	88.7977
412.015	88.8144
412.985	88.5245
413.955	88.5827
414.925	87.885
415.895	87.7601
416.865	87.3812
417.835	87.4467
418.805	87.5318
419.775	86.9477
420.745	86.7266
421.715	86.546
422.685	86.1931
423.655	86.0077
424.625	85.7489
