# wavelength_nm	absorbance
300	1.55586
300.501	1.56723
301.001	1.58754
301.502	1.55768
302.002	1.57639
302.503	1.58209
303.003	1.54749
303.504	1.5759
304.004	1.57849
304.505	1.57047
305.005	1.56738
305.506	1.56865
306.006	1.57201
306.507	1.57303
307.007	1.57191
307.508	1.57416
308.008	1.59032
308.509	1.5671
309.009	1.5626
309.51	1.59302
310.01	1.57992
310.511	1.57887
311.011	1.58256
311.512	1.58672
312.012	1.58035
312.513	1.59164
313.013	1.57797
313.514	1.58561
314.014	1.56754
314.515	1.60249
315.015	1.5901
315.516	1.59969
316.016	1.5989
316.517	1.60081
317.017	1.59643
317.518	1.60161
318.018	1.58935
318.519	1.58852
319.019	1.60052
319.52	1.59605
320.02	1.61844
320.521	1.60931
321.021	1.59979
321.522	1.60566
322.022	1.61115
322.523	1.61061
323.023	1.6155
323.524	1.615
324.024	1.60196
324.525	1.59593
325.025	1.61531
325.526	1.62629
326.026	1.61872
326.527	1.6364
327.027	1.62528
327.528	1.64106
328.028	1.64078
328.529	1.64157
329.029	1.62085
329.53	1.63491
330.03	1.64885
330.531	1.64125
331.031	1.64601
331.532	1.62855
332.032	1.66361
332.533	1.63853
333.033	1.62855
333.534	1.64706
334.034	1.6282
334.535	1.64396
335.035	1.68256
335.536	1.65536
336.036	1.6471
336.537	1.66387
337.037	1.65691
337.538	1.67683
338.038	1.66161
338.539	1.67556
339.039	1.66376
339.54	1.70362
340.04	1.68509
340.541	1.68105
341.041	1.68205
341.542	1.68195
342.042	1.6824
342.543	1.68468
343.043	1.71192
343.544	1.69221
344.044	1.67906
344.545	1.69134
345.045	1.71494
345.546	1.70583
346.046	1.70972
346.547	1.72548
347.047	1.70876
347.548	1.72563
348.048	1.71541
348.549	1.73065
349.049	1.72381
349.55	1.72814
350.05	1.74162
350.551	1.74377
351.051	1.73753
351.552	1.73737
352.052	1.76099
352.553	1.75383
353.053	1.74697
353.554	1.7473
354.054	1.76705
354.555	1.76093
355.055	1.76113
355.556	1.76691
356.056	1.77214
356.557	1.77121
357.057	1.78683
357.558	1.79041
358.058	1.78616
358.559	1.79762
359.059	1.78699
359.56	1.79684
360.06	1.80302
360.561	1.8062
361.061	1.8082
361.562	1.80839
362.062	1.82467
362.563	1.80273
363.063	1.8096
363.564	1.81202
364.064	1.81349
364.565	1.80028
365.065	1.83691
365.566	1.81588
366.066	1.8308
366.567	1.81784
367.067	1.84121
367.568	1.83008
368.068	1.82949
368.569	1.84569
369.069	1.83961
369.57	1.84374
370.07	1.85404
370.571	1.86314
371.071	1.84976
371.572	1.8508
372.072	1.8637
372.573	1.87158
373.073	1.88352
373.574	1.86085
374.074	1.87103
374.575	1.88858
375.075	1.89913
375.576	1.87202
376.076	1.87709
376.577	1.89077
377.077	1.88363
377.578	1.88424
378.078	1.89665
378.579	1.91204
379.079	1.88575
379.58	1.9161
380.08	1.89759
380.581	1.90897
381.081	1.92356
381.582	1.913
382.082	1.90882
382.583	1.92098
383.083	1.91403
383.584	1.92288
384.084	1.91749
384.585	1.92996
385.085	1.90917
385.586	1.91469
386.086	1.9124
386.587	1.92754
387.087	1.91437
387.588	1.92425
388.088	1.92154
388.589	1.94881
389.089	1.92545
389.59	1.92378
390.09	1.94036
390.591	1.95592
391.091	1.939
391.592	1.94083
392.092	1.95513
392.593	1.95194
393.093	1.94829
393.594	1.93903
394.094	1.95018
394.595	1.93271
395.095	1.94072
395.596	1.96185
396.096	1.96107
396.597	1.95288
397.097	1.9296
397.598	1.93714
398.098	1.94269
398.599	1.94798
399.099	1.93733
399.6	1.94745
400.1	1.9676
400.601	1.95389
401.101	1.95196
401.602	1.93943
402.102	1.93298
402.603	1.93679
403.103	1.93192
403.604	1.94904
404.104	1.95165
404.605	1.93761
405.105	1.94814
405.606	1.96068
406.106	1.96484
406.607	1.95218
407.107	1.94188
407.608	1.9501
408.108	1.95527
408.609	1.92065
409.109	1.95446
409.61	1.93305
410.11	1.93194
410.611	1.93248
411.111	1.93792
411.612	1.92224
412.112	1.92908
412.613	1.9357
413.113	1.9311
413.614	1.93113
414.114	1.92244
414.615	1.93093
415.115	1.93281
415.616	1.93042
416.116	1.92289
416.617	1.92612
417.117	1.9235
417.618	1.93957
418.118	1.92295
418.619	1.90781
419.119	1.89746
419.62	1.9018
420.12	1.89889
420.621	1.90507
421.121	1.89067
421.622	1.90727
422.122	1.87908
422.623	1.87425
423.123	1.88678
423.624	1.87723
424.124	1.87056
424.625	1.87423
425.125	1.87041
425.626	1.87552
426.126	1.86657
426.627	1.86472
427.127	1.86736
427.628	1.87483
428.128	1.87664
428.629	1.86064
429.129	1.85861
429.63	1.8517
430.13	1.8555
430.631	1.85173
431.131	1.8582
431.632	1.82315
432.132	1.83677
432.633	1.83956
433.133	1.83295
433.634	1.82086
434.134	1.81427
434.635	1.83233
435.135	1.81369
435.636	1.80069
436.136	1.82378
436.637	1.81677
437.137	1.80798
437.638	1.79694
438.138	1.8019
438.639	1.81213
439.139	1.78076
439.64	1.7782
440.14	1.7845
440.641	1.78744
441.141	1.77967
