# BE	CPS
705	0.72973
705.025	0.759636
705.05	0.761861
705.075	0.714716
705.1	0.736941
705.125	0.678092
705.15	0.7399
705.175	0.716039
705.2	0.737217
705.225	0.695216
705.25	0.760912
705.275	0.700877
705.3	0.759251
705.325	0.721056
705.35	0.735431
705.375	0.798652
705.4	0.784759
705.425	0.804731
705.45	0.820202
705.475	0.753402
705.5	0.824756
705.525	0.739045
705.55	0.80864
705.575	0.774727
705.601	0.764912
705.626	0.814574
705.651	0.827832
705.676	0.830311
705.701	0.812693
705.726	0.813627
705.751	0.828921
705.776	0.825703
705.801	0.836332
705.826	0.829741
705.851	0.852462
705.876	0.781949
705.901	0.830443
705.926	0.796512
705.951	0.850004
705.976	0.894668
706.001	0.834925
706.026	0.856735
706.051	0.879415
706.076	0.798523
706.101	0.84876
706.126	0.879262
706.151	0.785354
706.176	0.846932
706.201	0.91327
706.226	0.914379
706.251	0.899601
706.276	0.918957
706.301	0.903102
706.326	0.917508
706.351	0.895614
706.376	0.912836
706.401	0.894709
706.426	0.955946
706.451	0.968092
706.476	0.968289
706.501	0.91914
706.526	0.907307
706.551	0.978812
706.576	0.96145
706.601	0.959667
706.626	0.935526
706.651	0.972081
706.676	0.931578
706.701	0.988035
706.726	1.01531
706.751	1.02786
706.776	1.00522
706.802	0.947594
706.827	1.00012
706.852	1.0636
706.877	0.978617
706.902	1.00822
706.927	1.05779
706.952	1.03935
706.977	1.10075
707.002	1.00993
707.027	1.00787
707.052	1.08
707.077	1.01317
707.102	1.04899
707.127	1.05885
707.152	1.09789
707.177	1.0913
707.202	1.09273
707.227	1.07316
707.252	1.12798
707.277	1.21868
707.302	1.12511
707.327	1.1139
707.352	1.07861
707.377	1.10514
707.402	1.12466
707.427	1.12193
707.452	1.14447
707.477	1.20538
707.502	1.19664
707.527	1.16174
707.552	1.13764
707.577	1.2215
707.602	1.1875
707.627	1.14487
707.652	1.22585
707.677	1.24317
707.702	1.14766
707.727	1.20386
707.752	1.23356
707.777	1.26731
707.802	1.23832
707.827	1.23748
707.852	1.29305
707.877	1.2661
707.902	1.30547
707.927	1.26506
707.952	1.26717
707.977	1.33989
708.003	1.33444
708.028	1.36433
708.053	1.33062
708.078	1.33286
708.103	1.4078
708.128	1.33173
708.153	1.42557
708.178	1.43843
708.203	1.43559
708.228	1.4003
708.253	1.40778
708.278	1.4375
708.303	1.41668
708.328	1.43861
708.353	1.49894
708.378	1.51142
708.403	1.47302
708.428	1.53757
708.453	1.54392
708.478	1.58883
708.503	1.57409
708.528	1.60249
708.553	1.59901
708.578	1.62831
708.603	1.57478
708.628	1.62448
708.653	1.64198
708.678	1.65113
708.703	1.68733
708.728	1.70891
708.753	1.71781
708.778	1.7172
708.803	1.71721
708.828	1.78929
708.853	1.78428
708.878	1.76098
708.903	1.80381
708.928	1.77575
708.953	1.84789
708.978	1.86002
709.003	1.86825
709.028	1.95291
709.053	1.89095
709.078	1.96749
709.103	2.03295
709.128	2.02113
709.153	2.00974
709.178	1.99897
709.204	2.01485
709.229	2.06653
709.254	2.08187
709.279	2.10495
709.304	2.14126
709.329	2.17296
709.354	2.21604
709.379	2.19028
709.404	2.23336
709.429	2.27594
709.454	2.30226
709.479	2.39112
709.504	2.37139
709.529	2.34493
709.554	2.43531
709.579	2.46907
709.604	2.4794
709.629	2.47773
709.654	2.59836
709.679	2.54553
709.704	2.62997
709.729	2.64918
709.754	2.69474
709.779	2.76196
709.804	2.76214
709.829	2.76355
709.854	2.84898
709.879	2.83282
709.904	2.89306
709.929	2.8862
709.954	2.93123
709.979	3.00141
710.004	3.04891
710.029	3.02514
710.054	3.12979
710.079	3.12922
710.104	3.23138
710.129	3.22183
710.154	3.23825
710.179	3.31393
710.204	3.32395
710.229	3.42932
710.254	3.43106
710.279	3.46621
710.304	3.5281
710.329	3.5196
710.354	3.55021
710.379	3.63995
710.405	3.63313
710.43	3.67108
710.455	3.7666
710.48	3.79406
710.505	3.77681
710.53	3.8312
710.555	3.85717
710.58	3.97116
710.605	3.97763
710.63	3.96933
710.655	4.02959
710.68	4.00073
710.705	4.04904
710.73	4.09881
710.755	4.13423
710.78	4.14123
710.805	4.17353
710.83	4.18876
710.855	4.20016
710.88	4.21313
710.905	4.22444
710.93	4.25764
710.955	4.27466
710.98	4.27813
711.005	4.24485
711.03	4.25646
711.055	4.3028
711.08	4.3376
711.105	4.29885
711.13	4.28102
711.155	4.29748
711.18	4.25235
711.205	4.3198
711.23	4.27864
711.255	4.24395
711.28	4.24857
711.305	4.22591
711.33	4.26791
711.355	4.20809
711.38	4.20324
711.405	4.19913
711.43	4.14202
711.455	4.15145
711.48	4.13441
711.505	4.05933
711.53	4.09262
711.555	4.06213
711.58	4.04533
711.606	4.01997
711.631	4.00376
711.656	4.01287
711.681	3.91388
711.706	3.91533
711.731	3.92181
711.756	3.89239
711.781	3.86789
711.806	3.91291
711.831	3.82502
711.856	3.81696
711.881	3.75045
711.906	3.70672
711.931	3.70419
711.956	3.71239
711.981	3.68097
712.006	3.65895
712.031	3.61888
712.056	3.59296
712.081	3.57804
712.106	3.58487
712.131	3.5685
712.156	3.49368
712.181	3.52778
712.206	3.46689
712.231	3.48246
712.256	3.44507
712.281	3.4807
712.306	3.40454
712.331	3.40626
712.356	3.40336
712.381	3.34365
712.406	3.35281
712.431	3.33255
712.456	3.31108
712.481	3.29965
712.506	3.33292
712.531	3.26868
712.556	3.29105
712.581	3.27124
712.606	3.20794
712.631	3.25376
712.656	3.18438
712.681	3.23447
712.706	3.18948
712.731	3.19422
712.756	3.1446
712.781	3.17671
712.807	3.1906
712.832	3.12845
712.857	3.12441
712.882	3.1463
712.907	3.13714
712.932	3.03984
712.957	3.16346
712.982	3.10898
713.007	3.10412
713.032	3.06896
713.057	3.00759
713.082	3.0734
713.107	3.02601
713.132	3.04897
