# 2theta	intensity
10	0.0115236
10.035	0.00480008
10.07	0.0137523
10.1051	0.0147028
10.1401	0.000244824
10.1751	0.0034891
10.2101	0.0106392
10.2451	0.00841879
10.2801	0.00991599
10.3152	0.00573478
10.3502	0.014397
10.3852	0.013889
10.4202	0.0103302
10.4552	0.0156362
10.4902	0.0123375
10.5253	0.00570354
10.5603	0.0118438
10.5953	0.00520559
10.6303	0.0143923
10.6653	0.00975037
10.7004	0.00907569
10.7354	0.00659535
10.7704	0.0161127
10.8054	0.00922735
10.8404	0.00785836
10.8754	0.00823933
10.9105	0.0126615
10.9455	0.0118272
10.9805	0.0120637
11.0155	0.0121541
11.0505	0.0207082
11.0855	0.00796792
11.1206	0.00743879
11.1556	0.00593114
11.1906	0.0130799
11.2256	0.0156449
11.2606	0.00943026
11.2956	0.00579922
11.3307	0.00587759
11.3657	0.013253
11.4007	0.0137163
11.4357	0.0127158
11.4707	0.00667245
11.5058	0.0111608
11.5408	0.0105834
11.5758	0.0110934
11.6108	0.0143571
11.6458	0.011118
11.6808	0.0133946
11.7159	0.0103379
11.7509	0.0114456
11.7859	0.0131564
11.8209	0.00271422
11.8559	0.00840164
11.8909	0.00764814
11.926	0.00680561
11.961	0.00862429
11.996	0.0174747
12.031	0.00567084
12.066	0.0148414
12.1011	0.00158565
12.1361	0.00832557
12.1711	0.0108138
12.2061	0.0129311
12.2411	0.0135561
12.2761	0.0139667
12.3112	0.00825637
12.3462	0.00768824
12.3812	0.0142899
12.4162	0.00904348
12.4512	0.00362157
12.4862	0.00433356
12.5213	0.00540274
12.5563	0.0124858
12.5913	0.0107121
12.6263	0.0134524
12.6613	0.00786374
12.6963	0.0107927
12.7314	0.013128
12.7664	0.00845327
12.8014	0.0122839
12.8364	0.00669037
12.8714	0.00818473
12.9065	0.00809131
12.9415	0.0040208
12.9765	0.0124349
13.0115	0.00765299
13.0465	0.0100625
13.0815	0.0124037
13.1166	0.0122327
13.1516	0.0133269
13.1866	0.00950757
13.2216	0.00788351
13.2566	0.00960141
13.2916	0.00156333
13.3267	0.00276444
13.3617	0.0033865
13.3967	0.00501377
13.4317	0.0119989
13.4667	0.0054726
13.5018	0.00810919
13.5368	0.0164961
13.5718	0.00821868
13.6068	0.0136876
13.6418	0.00533191
13.6768	0.00897281
13.7119	0.00524989
13.7469	0.00830483
13.7819	0.0142015
13.8169	0.0013634
13.8519	0.0121721
13.8869	0.0111887
13.922	0.00702925
13.957	0.00276971
13.992	0.0103606
14.027	0.00735254
14.062	0.0111634
14.097	0.0101093
14.1321	0.0180089
14.1671	0.00880322
14.2021	0.00488251
14.2371	0.0108964
14.2721	0.0111
14.3072	0.0167959
14.3422	0.0141756
14.3772	0.0117844
14.4122	0.0173165
14.4472	0.00405618
14.4822	0.00680124
14.5173	0.00536712
14.5523	0.00805095
14.5873	0.00311657
14.6223	0.0131758
14.6573	0.00888889
14.6923	0.00264597
14.7274	0.0049221
14.7624	0.0115676
14.7974	0.0141906
14.8324	0.0199837
14.8674	0.0245693
14.9025	0.012072
14.9375	0.00505231
14.9725	-0.000660231
15.0075	0.0113386
15.0425	0.00593529
15.0775	0.00792321
15.1126	0.00693952
15.1476	0.00929605
15.1826	0.0153299
15.2176	0.0107852
15.2526	0.00920683
15.2876	0.00482173
15.3227	0.00162659
15.3577	0.00756846
15.3927	0.00973109
15.4277	0.0188396
15.4627	0.0106514
15.4977	0.0149137
15.5328	0.00750352
15.5678	0.00407528
15.6028	0.00517442
15.6378	0.00637387
15.6728	0.0206423
15.7079	0.00589307
15.7429	0.0141924
15.7779	0.00548536
15.8129	0.0146579
15.8479	0.0119248
15.8829	0.00921681
15.918	0.00979619
15.953	0.00672606
15.988	0.0122304
16.023	0.00772508
16.058	0.00387197
16.093	0.00361031
16.1281	0.0108629
16.1631	0.0178955
16.1981	0.0108
16.2331	0.00940681
16.2681	0.0114291
16.3032	0.01653
16.3382	0.0110969
16.3732	0.00794536
16.4082	0.0155314
16.4432	0.0121438
16.4782	0.0176788
16.5133	0.0109162
16.5483	0.00387765
16.5833	0.0031592
16.6183	0.0182546
16.6533	0.0186183
16.6883	0.0091024
16.7234	0.00808406
16.7584	0.0173072
16.7934	0.00446477
16.8284	0.00552636
16.8634	0.0132166
16.8984	0.00802697
16.9335	0.00997439
16.9685	0.00918279
17.0035	0.0116879
17.0385	0.0170374
17.0735	0.0104529
17.1086	0.0132197
17.1436	-0.000250861
17.1786	0.00975641
17.2136	0.00578385
17.2486	0.00390593
17.2836	0.00560924
17.3187	0.00832938
17.3537	0.0145795
17.3887	0.00336804
17.4237	0.0101532
17.4587	0.00757915
17.4937	0.00836163
17.5288	0.0150138
17.5638	0.0126906
17.5988	0.016687
17.6338	0.00922747
17.6688	0.00652029
17.7039	0.00888071
17.7389	0.0112125
17.7739	0.0108829
17.8089	0.00457806
17.8439	0.0104524
17.8789	0.0111411
17.914	0.0225874
17.949	0.0193842
17.984	0.00573378
18.019	0.00856308
18.054	0.00268279
18.089	0.00704646
18.1241	0.011578
18.1591	0.0160293
18.1941	0.00635458
18.2291	0.00672927
18.2641	-0.000736445
18.2991	0.00918667
18.3342	0.00468793
18.3692	0.0073528
18.4042	0.0056157
18.4392	0.00952869
18.4742	0.00121136
18.5093	0.00266477
18.5443	0.0206462
18.5793	0.00356289
18.6143	0.00451607
18.6493	0.0191846
18.6843	0.0245253
18.7194	0.00414217
18.7544	0.00815876
18.7894	0.0117078
18.8244	0.0186435
18.8594	0.00506571
18.8944	0.00877361
18.9295	0.0138867
18.9645	0.0121738
18.9995	0.00811922
19.0345	0.00933089
19.0695	0.00312552
19.1046	0.00880913
19.1396	0.00866806
19.1746	0.0111608
19.2096	0.00722336
19.2446	0.0123577
19.2796	0.0150636
19.3147	0.0107771
19.3497	0.0117588
19.3847	0.0102658
19.4197	0.0100004
19.4547	0.00639221
19.4897	0.0115825
19.5248	0.00951357
19.5598	0.0204658
19.5948	0.0178668
19.6298	0.0119292
19.6648	0.00618471
19.6998	0.00443794
19.7349	0.0159557
19.7699	0.0113137
19.8049	0.0124007
19.8399	0.00127707
19.8749	0.0146372
19.91	0.0122721
19.945	0.00444785
19.98	0.00764238
20.015	0.0113186
20.05	0.0102623
20.085	0.00853914
20.1201	0.00948256
20.1551	0.00874011
20.1901	0.0107628
20.2251	0.0173575
20.2601	-0.00283329
20.2951	0.00881575
20.3302	0.0108826
20.3652	0.01148
20.4002	0.00814043
20.4352	0.00121639
20.4702	0.01164
20.5053	0.0186368
20.5403	0.00233069
20.5753	0.0143191
20.6103	0.00835737
20.6453	0.00969338
20.6803	0.00473551
20.7154	0.00832772
20.7504	0.0165002
20.7854	0.0129133
20.8204	0.0186616
20.8554	0.0158871
20.8904	0.0121954
20.9255	0.0187197
20.9605	0.012195
20.9955	0.0141399
21.0305	0.00851715
21.0655	0.0103327
21.1006	0.00651288
21.1356	0.0149479
21.1706	0.00410848
21.2056	0.0139118
21.2406	0.00904674
21.2756	0.0158562
21.3107	0.0137543
21.3457	0.0191032
21.3807	0.0136539
21.4157	0.0021398
21.4507	0.00966523
21.4857	0.00413996
21.5208	0.0074086
21.5558	0.0175561
21.5908	0.0131877
21.6258	0.00650535
21.6608	0.00493141
21.6958	0.0101639
21.7309	0.0039172
21.7659	0.0066443
21.8009	0.01156
21.8359	0.0157766
21.8709	0.0130438
21.906	-0.00145645
21.941	0.0115218
21.976	0.0103602
22.011	0.0120695
22.046	0.018081
22.081	-0.000316191
22.1161	0.00704448
22.1511	0.0129545
22.1861	0.00209203
22.2211	0.0173797
22.2561	0.0118418
22.2911	0.0142329
22.3262	0.00714528
22.3612	0.0140688
22.3962	0.0153424
22.4312	0.0111644
22.4662	0.011172
22.5013	0.0113517
22.5363	0.00568327
22.5713	0.00926236
22.6063	0.00923739
22.6413	0.011917
22.6763	0.0149991
22.7114	0.00470732
22.7464	0.00937495
22.7814	0.0174073
22.8164	0.00628206
22.8514	0.00588875
22.8864	0.0110115
22.9215	0.0142219
22.9565	0.0100571
22.9915	0.0166448
23.0265	0.014284
23.0615	0.0142091
23.0965	0.0127706
23.1316	0.0216383
23.1666	0.00897419
23.2016	-1.76115e-05
23.2366	0.0180213
23.2716	0.0077115
23.3067	0.0105394
23.3417	0.0165478
23.3767	0.0019887
23.4117	0.00374176
23.4467	0.00199361
23.4817	0.00602932
23.5168	0.0121982
23.5518	0.0126209
23.5868	0.0113814
23.6218	0.00293617
23.6568	-0.00155052
23.6918	0.0102718
23.7269	0.00764112
23.7619	0.0122969
23.7969	0.0135098
23.8319	0.0106912
23.8669	0.0138007
23.902	0.0111461
23.937	0.0126503
23.972	0.00647663
24.007	0.00910194
24.042	0.0109839
24.077	0.0141026
24.1121	0.00803129
24.1471	0.0126058
24.1821	0.00867081
24.2171	0.00941229
24.2521	0.0141476
24.2871	3.46981e-05
24.3222	0.00351764
24.3572	0.00258907
24.3922	-0.00166808
24.4272	0.00660868
24.4622	0.0137472
24.4972	0.00857558
24.5323	0.010989
24.5673	0.0154461
24.6023	0.0166384
24.6373	0.00965431
24.6723	0.0167679
24.7074	0.0104606
24.7424	0.00581301
24.7774	0.007028
24.8124	0.00259732
24.8474	0.00555933
24.8824	0.00820992
24.9175	0.0140179
24.9525	0.0186038
24.9875	0.00308909
25.0225	0.0119641
25.0575	0.00479728
25.0925	0.0123735
25.1276	0.00934457
25.1626	0.000845471
25.1976	0.0146415
25.2326	0.006975
25.2676	0.0073305
25.3027	0.00465124
25.3377	0.00672858
25.3727	0.0121395
25.4077	0.00905378
25.4427	0.0116433
25.4777	0.0118096
25.5128	0.0166033
25.5478	0.00828607
25.5828	0.00261571
25.6178	0.0153361
25.6528	0.00834256
25.6878	0.015573
25.7229	0.0119169
25.7579	0.00934431
25.7929	0.0117439
25.8279	0.0197551
25.8629	0.0203849
25.8979	0.0103469
25.933	0.010801
25.968	0.0153812
26.003	0.00577169
26.038	0.0116654
26.073	0.00987069
26.1081	0.0115695
26.1431	0.00583316
26.1781	0.00205216
26.2131	-0.000364917
26.2481	0.00441308
26.2831	0.00770662
26.3182	0.00853404
26.3532	0.0196862
26.3882	0.01553
26.4232	0.00518954
26.4582	0.0117385
26.4932	0.00796461
26.5283	0.00857818
26.5633	0.0109266
26.5983	0.0130959
26.6333	0.00830371
26.6683	0.0153193
26.7034	0.00429031
26.7384	0.0100317
26.7734	0.0229884
26.8084	0.0111154
26.8434	0.0171661
26.8784	0.0104576
26.9135	0.0129039
26.9485	0.00971613
26.9835	0.00914807
27.0185	0.00610282
27.0535	0.012152
27.0885	0.00574337
27.1236	0.0133301
27.1586	0.0154309
